GARSTANG-GRIZEDALE-RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD522483,Long,-2.729446,Lat,53.92861,Elevation,519,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,3.6,3.4,7.8,4.1,0.52,8.02,5.65,4.4,5.18,2.5,7,3.7,1.5,0.65,0.72,3.7,6.38,5.8,2.45,5.3,3.05,2,2.25,6.3,2.5,3.58,1.72,3.95,2.6,3.42,1.15,4.8,5.5,5.04,1.51,2.35,4,3.68,2.39,5.12,2.31,3.98,1.94,6.72,1.34,4.33,4.91,3.8,5.25,3.26,2.64,4,5.66,4.7,6.96,3.74,4.23,4.27,3.18,5.68,4.64,10.92,2.62,6.61,4.88,4.76,3.42,4.32,1.98,3.93,2.98,5.09,4.43,2.77,1.52,4.58,7.38,4.89,3.83,4.45,3.64,8.11,2.27,2.65,4.92,3.91,2.05,4.54,2.71,4.68,4.33,4.48,3.51,4.93
February,,,,,,,,2.2,2.7,5,1.05,4.82,5.83,0.75,1.85,1.2,5.3,4.7,1.85,3.45,2.95,5.25,3.02,3.25,3.05,3.75,1.45,2.45,0.75,2.4,0.55,0.35,2.2,5.5,5.5,0.25,2,3.52,2.95,2.49,3.81,1.96,1.98,3.77,3.73,1.87,3.48,2.01,2.84,2.15,4.62,4.54,1.99,2.02,3.54,4.8,4.05,1.48,4.84,1.61,2.84,0.31,5.65,6.22,0.73,5.37,5.21,3.02,5.14,1.26,0.32,3.97,0.08,3.59,0.16,5.25,2.16,5.61,1.69,3.29,1.55,5.92,1.6,2.46,1.58,5.15,4.03,0.73,2.4,1.88,4.38,3.74,1.07,1.68,3.71,1.97,0.6,3.52,6.66,1.05,3.45
March,,,,,,,,1.1,4.7,1.1,2.52,1.8,5.34,4.4,3.85,1.05,2.15,3.8,1.45,1.75,2.8,4.5,3.7,1.05,3.35,3.8,4,2.45,3.4,2.9,4.7,1.1,0.85,1.65,3.2,4.88,5.4,5.95,1.22,2.85,0.7,3.57,3.06,3.99,3.27,3.22,3.46,4.39,3.17,3.29,0.93,1.67,6.69,4.32,4.81,2.33,1.9,2.93,2.08,6.58,5.12,4.29,2.55,1.44,1.95,1.35,1.22,3.52,3.53,1.41,3.62,0.46,2.68,2.46,2.47,1.15,2.66,1.55,1.08,2.07,3.6,2.55,2.84,0.98,0.62,2.76,1.29,6.05,3.02,2.28,2.2,4.86,2.91,0.91,2.89,1.81,1.12,3.72,1.6,2.67,1.81
April,,,,,,,,4.9,2.3,3.5,1.6,3.24,2.1,0.6,1.45,1.25,3,3,1.65,1.59,1.8,2,4.97,2.4,1.15,1.75,2.6,1.3,2,2.4,1.35,2.55,2.15,0.4,2,2.6,2,3.1,2.7,4.6,2.82,2.43,1.47,1.68,3.17,3.16,1.67,1.74,3.29,4.09,2.33,3.03,0.61,5.16,1.03,3.23,3.32,1.91,1.26,2.19,5.62,1.94,2.16,3.45,1.88,2.8,1.56,1.65,1.64,1.84,2.52,2.89,2.98,2.28,2.77,2.83,0.81,3.07,0.42,2.18,2.34,1.34,1.95,2.7,3.35,2.24,1.41,3.58,1.5,4.24,2.37,2.47,3.71,3.3,1.32,2.77,1.69,0.57,1.82,2.78,3.03
May,,,,,,,,2.5,2,3,2.42,1.03,2.3,2.45,1.25,2.4,0.62,3.05,4.43,2.68,2.38,5.7,2.28,1.48,3,2.17,6.1,1.7,1.42,3.55,2.5,2,5.7,2.3,2.7,0.88,0.59,2.34,3.42,3.64,1.64,1.01,3.35,3.64,2.98,0.99,5.29,3.83,3.11,2.51,2.18,1.46,2.17,3.08,2.99,2.14,3.61,2.09,2.44,1.99,6.52,3.32,2.05,3.44,5.44,4.68,3.07,1.77,0.92,2.53,2.01,2.68,5.14,2.38,3.86,1.08,1.3,2.25,3.96,1.12,1.78,3.03,3.64,4.04,3.96,3.48,1.9,2.72,1.64,2.42,1.24,1.95,2.68,2.69,3.02,3.79,2.82,3,5.31,2.26,3.19
June,,,,,,,,1.8,1,1.7,2.03,3.45,6.1,3,1.2,4.45,4.75,2.9,4.15,4.65,4.82,4.6,5.05,3.65,0.8,2.53,1.85,0.48,2.45,1.1,5.1,1.55,3.45,2,4.3,2.35,3.8,4.89,2.71,2.03,3.56,1.96,1.27,1.71,1.91,2.31,3.09,8.2,2.71,2.92,2.55,4,7.82,2.79,2.1,1.19,3.06,3.54,2.6,2.23,2.85,0.65,3.2,1.17,3.09,0.62,4.07,4.03,8.36,2.3,2.01,7.44,1.44,2.83,2.36,5.89,4.99,2.75,5.12,3.68,0.83,0.57,1.2,3.2,3.75,5.36,3.53,3.23,5.01,1.01,4.03,1.2,4.74,3.22,5.02,4,2.82,2.42,4.45,4.16,1.73
July,,,,,,,,4.1,0.8,1.3,2.4,6.64,5.85,4.2,2,5.1,3.2,5.3,0.8,5.75,4.05,6.5,7.9,3.85,6.75,1.9,5.8,3.88,6.72,3.25,4,3.45,1.95,4.5,3.9,5.1,5.32,2,1.96,2.3,3.26,0.92,4.34,4.44,3.48,2.69,2.83,3.51,4.63,7.2,7.32,1.13,4.9,1.54,5.59,4.68,3.75,1.96,5.35,2.26,6.64,1.85,6.69,5.31,4.01,3.66,5.07,5.5,4.51,5.16,4.51,5.47,5.88,3.06,2.63,1.8,5,2.08,4.94,6.54,4.95,2.22,5.4,5.23,4.67,3.95,6.67,4.63,3.3,4.59,5.22,3.42,1.84,6.04,7.02,1.48,4.01,5.75,3.42,5.66,7.1
August,,,,,,,,4.3,6.4,3,2.3,3,4.4,5.8,6.9,3.45,4.35,7,5.55,7.35,2.52,7,4.95,3.6,2.1,1.85,2.35,2.55,3.4,5.9,8.15,11.85,8.55,4.65,6.1,5.5,4.52,5.52,7.46,2.21,5.45,3.54,3.06,6.59,4.12,4.73,3.9,6.14,5.29,4.07,6.72,4.87,5.97,1.95,2.6,5.78,4.23,9.12,5.42,4.93,2.82,7.67,5.44,7.82,7.46,5.15,4.08,8.26,6.89,6.92,8.8,4.27,1.82,2.54,6.4,3.1,3.97,2.85,3.68,1.9,2.43,5.41,4.94,8.01,2.79,1.61,6.91,0.28,3.94,3.83,8.35,4.54,7.92,5.08,6.76,1.22,12.79,4.39,3.39,0.59,5.38
September,,,,,,,8.55,4.6,2.1,9.5,1.3,3.43,7.4,2.65,4.9,4.7,4.9,4.85,5.4,4.4,4.86,2.65,2.1,5.72,4.15,7,5.58,4.7,2.57,4.4,4.7,6.5,6.1,5.55,0.8,1.25,6.25,4.78,2.01,6.48,2.19,1.7,1.42,5.82,2.07,3.45,1.57,1.14,6.26,3.08,0.61,4.75,2.73,3.44,3.53,1.15,3.21,4.46,9.21,3.39,3.82,1.84,6.14,5.3,6.29,5.38,5.49,9.37,2.32,2.9,2.58,3.59,6.98,1.16,4.65,7.79,4.95,3.02,2.92,1.59,5.08,1.47,4.85,5.58,7.3,3.81,6.48,5.2,5.07,1.38,7.8,4.05,3.16,5.83,6.74,2.58,4.13,6.57,6.39,0.51,3.56
October,,,,,,,3.3,5.7,5.8,4.4,11.52,8.83,6.6,7.51,6.03,4.75,3.4,5.9,3.93,2.92,5.12,2.9,4.7,5.3,3,5.2,6.15,2.6,3.15,4.9,3.6,4.2,5.1,7.22,4.18,5.45,4.7,2.42,4.36,4.24,6.62,4.69,4.3,9.21,3.45,3.23,6.7,4.88,2.42,6.15,3.39,4.66,5.52,2.83,2.08,2.16,8.88,8.27,4.87,2.95,1.66,2.57,1.15,7.05,5.16,6.79,4.4,4.48,6.44,7.08,7.2,3.42,7.97,6.06,6.82,7.26,3.4,2.55,9.82,1.64,4.78,5.49,5.92,4.77,5.54,5.57,0.6,0.57,3.91,6.16,3.83,1.88,4.31,2.13,10.13,2.44,3.63,6.24,4.52,4.43,2.94
