BUGBROOKE MILL,,,,,,,,,,,,
Grid ref,SP679588,Long,-1.007417,Lat,52.223231,,,,,,,
Station no,1104/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,1.95,0.79,0.57,2.27,3.92,0.72,2.81,3.72,3.36,,
February,,0.49,1.42,2.39,1.57,0.37,2.03,2.88,0.01,1.87,,
March,,2.28,1.04,2.57,1.95,0.83,1.58,1.72,2.70,1.45,,
April,,1.81,1.72,0.23,0.56,1.01,0.31,0.67,2.47,0.46,,
May,2.26,1.89,1.13,2.80,3.59,0.29,1.81,1.85,0.39,1.48,,
June,0.98,1.08,2.72,2.42,2.89,2.49,1.70,3.71,1.06,2.45,,
July,1.18,0.48,2.74,2.77,0.19,3.52,2.61,2.50,2.17,2.98,,
August,4.64,3.51,2.79,3.80,0.55,3.68,1.64,2.95,0.96,3.47,,
September,1.47,1.81,1.55,1.36,1.55,1.98,4.49,2.44,0.09,3.18,,
October,0.62,3.50,2.43,2.05,1.55,1.10,1.53,2.01,1.77,4.84,,
November,4.67,2.36,1.40,4.76,1.19,0.50,1.72,1.61,2.12,2.88,,
December,1.68,2.48,0.54,1.93,2.06,3.30,2.29,2.59,4.30,2.70,,
Total,,23.64,20.27,27.65,19.92,22.99,22.43,27.74,21.76,31.12,,
Calc annual,17.50,23.64,20.27,27.65,19.92,22.99,22.43,27.74,21.76,31.12,,
Difference,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
