REIGATE-THE-KNOWLE-(MILL-LAWN),,,,,,,,,,
Grid ref,TQ267504,Long,-0.18578,Lat,51.23892,Elevation,330,ft,,
Station no,RR4788,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,2.72,4.98,1.31,5.61,1.26,,
February,,,,2.04,3.41,1.07,2.7,1.7,,
March,,,,3.35,1.73,3.94,1.29,1.09,,
April,,,,2.22,1.74,1.59,0.56,3.73,,
May,,,,2.49,2.79,0.71,1.35,2.32,,
June,,,,5.45,1.73,5.13,2.02,1.68,,
July,,,,3.45,0.92,0.75,0.51,1.51,,
August,,,,4.02,1.64,2.47,1.38,2.34,,
September,,,,3.07,1.43,2.34,1.68,0.53,,
October,,,,7.4,2.36,1.17,4.37,3.92,,
November,,,,2.85,1.44,4.67,5.3,2.58,,
December,,,,2.29,2.97,0.71,2.44,3.31,,
Total,,,,41.35,27.14,25.86,29.21,25.97,,
,,,,,,,,,,
Mill Lawn,,,,,,,,,,
1908 Jan 1 Gauge moved to The Knowle 0.66 mile SSW,,,,,,,,,,
