"REIGATE, MILL LAWN & THE KNOWLE (08)",,,,,,,,,,,,
Grid ref,TQ270510,Long,-0.181908,Lat,51.244046,,,,,,,
Station no,RR4788,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,2.72,4.98,1.31,5.61,1.26,1.42,1.29,,
February,,,,2.04,3.41,1.07,2.70,1.70,1.18,0.54,,
March,,,,3.35,1.73,3.94,1.29,1.09,2.88,3.45,,
April,,,,2.22,1.74,1.59,0.56,3.73,2.74,1.71,,
May,,,,2.49,2.79,0.71,1.35,2.32,2.17,1.72,,
June,,,,5.45,1.73,5.13,2.02,1.68,1.92,3.03,,
July,,,,3.45,0.92,0.75,0.51,1.51,3.04,3.86,,
August,,,,4.02,1.64,2.47,1.38,2.34,4.02,2.62,,
September,,,,3.07,1.43,2.34,1.68,0.53,1.54,2.85,,
October,,,,7.40,2.36,1.17,4.37,3.92,2.33,5.10,,
November,,,,2.85,1.44,4.67,5.30,2.58,0.95,0.95,,
December,,,,2.29,2.97,0.71,2.44,3.31,2.71,3.89,,
Total,,,,41.35,27.14,25.86,29.21,25.97,26.90,31.01,,
Calc annual,0.00,0.00,0.00,41.35,27.14,25.86,29.21,25.97,26.90,31.01,,
Difference,NaN,NaN,NaN,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
