REIGATE-THE-KNOWLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ265494,Long,-0.18962,Lat,51.23017,Elevation,390,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,1.42,1.29,2.27,1.67,2.84,4.35,0.85,4.2,1.38,1.32,3.37,3.65,3.25,2.65,3.54,1.63,2.86,3.11,3.26,2.44,4.42,1.54,
February,,,,,,,,,1.18,0.54,4.1,1.49,2.21,1.19,4.4,4.75,4.85,1.09,1.28,2.55,0.6,0.21,2.42,3.61,0.73,4.35,2.67,4.68,1.77,0.45,
March,,,,,,,,,2.88,3.45,1.12,2.16,4.14,2.73,5.04,0.72,4.56,1.98,1.02,3.99,1.74,1.37,2.29,1.94,1.49,0.84,0.38,3.63,2.18,0.02,
April,,,,,,,,,2.74,1.71,2.12,2.11,0,3.16,1.2,1.43,1.39,2.72,3.93,2.73,2.61,1.13,3.26,2.13,3.44,3.29,4.3,2.13,1.82,0.96,
May,,,,,,,,,2.17,1.72,2.29,2.5,1.55,2.21,1.15,2.98,2.97,1.71,1.2,0.22,1.07,1.37,0.75,3,3.5,2.44,1.86,1.14,2.02,2.45,
June,,,,,,,,,1.92,3.03,1.78,2.53,3.97,0.33,0.62,1.09,2.33,1.61,0.72,0.98,1.5,0.11,1.33,0.38,2.69,0.17,3.95,4.2,2.66,1.57,
July,,,,,,,,,3.04,3.86,3.04,0.39,1.27,3.44,2.23,3.86,1.03,4.07,5.33,1.93,4.69,0.22,3.1,3.59,4.05,3.92,1.77,2.69,1.61,1.99,
August,,,,,,,,,4.02,2.62,3.28,0.4,5.77,2.07,1.34,2.12,3.75,5.17,1.33,1.93,1.33,1.55,2.08,1.97,3.59,2.83,2.37,5.03,2.62,,
September,,,,,,,,,1.54,2.85,0.85,1.5,3.06,1.59,1.01,2.47,1.68,1.84,5.1,1.03,3.35,0.89,1.39,1.55,3.34,3.1,0.93,5.68,0.74,,
October,,,,,,,,,2.33,5.1,2.83,4.06,3.07,4.33,1.68,2.44,5.04,3.84,1.5,0.64,1.04,1.34,0.99,6.76,3.63,3.59,2.39,2.2,5.81,,
November,,,,,,,,,0.95,0.95,3.48,5.03,2.6,2.71,3.94,2.92,5.93,1.54,2.26,1.92,1.93,1.84,1.92,1.65,3.46,2.97,6.2,2.97,2.85,,
December,,,,,,,,,2.71,3.89,3.86,6.7,3.68,1.49,8.26,6.74,3.03,1.6,2.61,4.44,2.74,1.93,4.32,2.65,3.88,3.24,0.48,5.9,3.38,,
Total,,,,,,,,,26.9,31.01,31.02,30.54,34.16,29.6,31.72,35.72,37.94,28.49,29.65,26.01,25.85,14.61,27.39,30.86,36.66,33.85,30.56,42.69,31.88,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908 Jan 1 Gauge moved from Mill Lawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 Aug Gauge terminated on death of observer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
