STOCKTON HALL,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE654559,Long,-1.004,Lat,53.995,Elevation,30,ft,,,,,,,,,,,,,,,,,,
Station no,3449,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947
January,,1.64,2.13,1.42,1.99,1.66,4.58,1.96,2.75,1.60,1.41,1.62,1.49,1.86,2.28,2.18,1.80,2.84,1.90,1.91,2.31,3.30,2.38,2.61,1.48,2.39
February,,3.28,0.76,3.22,1.37,1.17,1.31,0.44,0.48,1.81,0.47,3.48,1.24,2.38,1.68,2.33,0.88,1.13,1.35,2.21,0.75,0.29,1.31,1.68,1.59,1.84
March,2.00,0.95,0.87,0.86,0.53,1.07,1.68,0.17,2.16,0.70,1.34,1.75,1.31,0.49,0.97,2.05,0.27,1.80,1.32,1.50,0.95,0.34,0.37,0.65,0.38,4.08
April,1.67,1.18,1.54,2.16,1.08,1.97,0.53,0.88,2.29,3.87,1.45,0.61,2.43,1.83,1.22,3.77,0.10,1.52,1.73,0.90,0.91,1.07,2.24,1.27,1.71,1.46
May,0.95,1.96,3.69,2.94,2.12,1.22,1.34,1.12,0.80,2.18,5.54,2.27,1.07,0.92,1.24,2.50,2.70,1.16,2.30,1.01,2.69,2.24,0.82,1.58,1.86,1.53
June,1.19,0.93,1.88,0.09,3.22,2.73,4.17,1.65,1.37,3.91,0.35,1.53,1.52,1.54,3.44,1.91,1.60,1.59,0.73,0.36,0.77,1.53,3.15,2.49,2.08,2.34
July,4.95,3.11,3.27,1.16,2.22,3.34,0.67,1.62,3.83,3.26,2.00,0.60,1.53,0.15,2.50,1.06,2.59,3.39,5.82,2.66,2.01,1.06,4.54,1.28,2.57,2.16
August,4.13,2.89,2.65,2.39,2.53,3.89,4.35,2.63,2.75,2.69,1.81,0.66,1.40,1.74,2.02,1.12,2.11,1.80,1.02,2.29,3.17,1.89,3.93,2.00,3.55,0.29
September,2.02,2.46,2.53,2.86,1.09,4.73,0.29,0.49,3.24,3.47,1.85,1.79,0.82,4.59,0.80,0.92,1.38,0.72,1.48,0.52,2.12,3.11,4.42,1.49,4.15,1.35
October,0.88,1.81,2.87,2.35,2.43,1.65,2.90,2.63,1.52,0.96,2.22,3.38,1.06,3.65,1.35,2.42,2.48,2.04,2.60,2.22,1.85,1.47,2.42,2.67,0.62,
November,,1.93,1.77,1.77,3.23,2.51,2.51,3.34,2.82,3.44,1.03,2.10,1.52,2.93,2.37,1.70,1.90,2.59,2.56,2.57,0.99,2.02,2.25,0.38,4.75,
December,2.79,2.48,2.08,2.24,0.75,2.09,1.35,4.63,1.57,1.04,1.10,0.61,3.51,2.25,1.18,2.25,3.06,1.38,1.53,0.37,1.82,1.20,1.32,1.62,2.28,
Total,,24.62,26.04,23.46,22.56,28.03,25.68,21.56,25.58,28.93,20.57,20.40,18.90,24.33,21.05,24.21,20.87,21.96,24.34,18.52,20.34,19.52,29.15,19.72,27.02,
,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/214,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/335,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/188,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
# The reading for December 1922 is a part estimate and has been retained.,,,,,,,,,,,,,,,,,,,,,,,,,,
