BETHNAL-GREEN-VICTORIA-PARK-NEW-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ355835,Long,-0.047813979,Lat,51.534152,Elevation,43,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,
January,,,,,,1.79,2.42,1.52,3.38,0.46,2.73,1.23,1.51,1.16,1.27,0.96,3.51,2.87,2.65,4.64,,3.05,2.48,4.83,1.75,1.78,1.62,1.67,3.21,0.81,1.11,2.89,1.91,0.94,1.32,2.77,3.51,1.34,2.25,2.03,1.71,
February,,,,,,2.48,3.14,3.23,1.49,0.42,1.12,1.65,0.23,1.44,0.05,2.16,1.33,4.22,0.65,0.78,1.97,1.96,1.01,1.41,0.84,1.55,2.77,1.67,1.84,1.06,3.55,5.57,0.71,1.43,2.22,1.11,0.16,3.2,2.57,0.08,2.02,
March,,,,,,0.59,0.27,2.38,1.07,0,1.36,0.31,1.2,2.57,1.96,0.36,1.02,2.93,0.36,1.05,3.86,2.47,1.96,0.37,0.15,0.97,1.2,6.04,0.72,0.89,0.78,3.44,2.98,0.55,1.98,0.89,1.23,1.27,1.25,1.69,1.75,
April,,,,,,1.87,3.68,2.18,1.09,1.16,1.59,3.35,2.24,0.73,1.91,2.53,1.22,2.56,0.1,2.5,1.87,1.87,0.94,1.15,1.43,1.07,1.48,1.98,1.67,1.93,2.6,3.05,1.14,2.63,0.33,0.38,1.16,0.2,1.78,2.13,0.45,
May,,,,,,1.31,1.94,1.52,2.16,1.38,3.65,2.26,3.61,1.8,0.5,1.43,0.45,3.41,1.44,1.69,1.2,2,2.75,1.64,1.27,2.94,2.69,0.99,1.88,1.86,1.5,1.87,0.74,1.29,1.77,5.35,0.66,1.53,2.39,0.94,2.17,
June,,,,,,0.1,3.29,2.35,2.09,0.82,2.55,1.4,0.54,2.18,1.48,3.11,3.07,1.71,0.19,1.7,0.56,2.12,0.25,1.99,1.98,1.82,2.88,2.81,2.38,0.83,1.45,1.14,2.37,1.9,3.21,2.22,2.57,0.99,5.24,1.08,1.66,
July,,,,,,3.7,2.11,2.48,1.65,2.12,1.93,2,2.31,1.4,0.89,1.01,3.26,1.31,1.24,2.3,3.29,3.46,1.4,2.09,1.24,2.92,2.11,2.54,1.13,1.5,3.35,1.69,0.73,3.86,2.94,0.45,4.66,3.78,2.13,1.61,2.6,
August,,,,,,2.92,2.33,4.03,2.36,1.71,3.84,4.49,2.77,0.54,1.72,2.06,0.59,1.71,1.51,4.23,0.07,5.45,1.85,1.45,2.81,1.53,4.08,0,3.72,1.24,1.68,3.79,2.71,2.15,2.99,1.21,4.88,1.74,3.33,3.78,2.64,
September,,,,,,1.78,1.42,4.65,0.64,0.2,3.04,1.81,2.08,2.59,1.16,2.46,2.89,1.68,3.37,2.13,1.09,0.75,1.36,1.94,3.06,1.64,2.78,1.79,1.2,0.52,2.48,3.82,2.68,1.94,1.87,2.27,2.74,1.81,4.11,0.07,5.22,
October,,,,,3.27,2.84,2.38,1.13,3.15,2.91,0.89,0.66,,1.54,1,2.69,1.61,2.13,2.58,5.07,2.57,0.73,3.92,2.69,3.03,2.2,1.28,0.12,2.3,5.98,0.43,0.88,2.06,3.25,2.66,2.89,2.09,2.16,2.35,2.01,5.42,
November,,,,,2.47,1.33,4.72,2.3,1.61,4.72,3.59,1.71,1.13,0.8,1.97,3.57,3.4,1,3.05,4.88,6.34,2.56,2.24,1.53,3.67,0.22,3.34,0.9,1.94,2.26,5.01,4.87,4.09,1.01,3.52,0.22,0.48,2.09,1.92,3.09,3.82,
December,,,,,3,2.79,0.55,2.59,2.25,3.73,1.79,0.81,0.57,0.28,4.75,2.44,2.15,3.74,2.72,1.26,0.93,1.97,2.37,1.47,1.11,2.89,2.08,2.34,2.73,1.6,1.52,1.83,2.48,0.74,1.47,1.9,2.53,1.73,2.99,3.43,2.4,
Total,,,,,,23.5,28.25,30.36,22.94,19.63,28.08,21.68,,17.03,18.66,24.78,24.5,29.27,19.86,32.23,,28.39,22.53,22.56,22.34,21.53,28.31,22.85,24.72,20.48,25.46,34.84,24.6,21.69,26.28,21.66,26.67,21.84,32.31,21.94,31.86,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauges overlap for 521 months with 3 duplicated readings; probably coincidental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
