BETHNAL-GREEN-VICTORIA-PARK-OLD-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ355835,Long,-0.047813979,Lat,51.534152,Elevation,43,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,,,,,,,3.26,0.46,1.11,2.82,2.33,2.2,1.86,2.1,1.29,,1.5,2.35,1.49,2.86,,
February,,,,,,,,,,,,,,,,2.31,1.54,0.38,1.17,1.65,0.55,0.27,1.77,2.66,0.39,2.17,3.03,3.09,1.21,,
March,,,,,,,,,,,,,,,,0.56,2.01,1.34,0.82,2.86,1.9,1.24,1.23,2.28,0.51,0.54,0.26,2.21,0.9,,
April,,,,,,,,,,,,,,,,0.78,0.82,0.64,3.13,2.19,2.45,1.19,2.59,1.39,3.12,1.78,3.54,2.14,1,,
May,,,,,,,,,,,,,,,,2.96,1.72,2.62,3.13,0.39,0.59,1.2,0.71,2.19,3.13,1.15,1.91,1.48,1.92,,
June,,,,,,,,,,,,,,,,0.5,1.89,2.18,1.59,0.86,1.48,0.77,1.17,0.51,2.37,0.1,3.23,2.34,1.99,,
July,,,,,1.86,,,,,,,,,,,3.54,1.42,3.86,5.74,1.99,2.46,0.16,3.69,2.36,4.72,3.64,2.15,2.41,1.54,,
August,,,,,1.55,,,,,,,,,,,2.77,5.12,3.98,1.47,1.92,1.85,1.31,2.58,2.02,2.14,2.75,2.33,3.97,2.26,,
September,,,,,,,,,,,,,,,,1.44,0.91,1.29,2.23,0.9,3.11,2.24,1.8,1.27,2.45,1.65,1.37,4.4,0.61,,
October,,,,,1.51,,,,,,,,,,,1.16,2.5,1.85,1.04,0.79,1.22,0.88,1.2,4.73,3.1,2.77,2.21,1.1,2.99,,
November,,,,,,,,,,,,,,,,2.56,3.7,1.75,1.32,1.43,0.78,1.86,1.37,1.31,2.09,1.3,4.49,2.14,1.58,,
December,,,,,,,,,,,,,,,,4.52,1.91,0.71,2.18,3.04,1.73,1.18,2.75,1.6,2.5,,0.55,2.19,2.07,,
Total,,,,,,,,,,,,,,,,26.36,24,21.71,26.64,20.35,20.32,14.16,22.96,23.61,,,27.42,28.96,20.93,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauges overlap for 521 months with 3 duplicated readings; probably coincidental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
