WARLINGHAM-REDVERS-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ355581,Long,-0.05712,Lat,51.30639,Elevation,610,ft,,,,,,,,,,,,
Station no,RR7759,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,1.21,6.04,1.4,1.99,1.35,2.86,1.82,3.18,4.64,0.92,5,1.94,1.84,3.62,4.65
February,,,,,,1.16,3.13,2.15,1.47,0.76,4.85,1.85,2.66,1.29,5.27,6,5.76,1.11,1.76,3.21
March,,,,,,4.94,1.61,1.19,3.5,4.15,1.54,2.3,4.69,3.75,5.84,0.73,5.44,1.73,1.27,4.86
April,,,,,,2.02,0.65,3.83,2.8,2.08,2.09,2.37,0.05,3.5,1.28,1.83,1.72,2.96,4.84,3.94
May,,,,,,0.96,1.47,2.15,2.24,1.47,2.61,1.77,1.19,1.5,1.61,3.17,3.49,1.96,2.21,
June,,,,,,6.25,2.14,1.84,1.85,3.46,2.43,2.33,3.72,0.4,1.2,0.96,3.87,1.94,0.91,
July,,,,,,0.91,0.55,1.72,3.82,3.98,3.17,0.24,1.8,1.93,2.22,4.53,1.54,4.91,5.48,
August,,,,,,2.87,1.2,2.46,4.75,2.29,3.22,0.48,6.15,1.96,1.71,2.75,3.39,6.53,1.23,
September,,,,,,2.32,2.17,0.71,1.66,3.87,1.41,1.43,3.85,1.4,0.93,2.31,1.61,2.49,5.69,
October,,,,,,1.66,4.96,4.09,2.05,6.11,3.21,5.04,3.46,4.26,2.12,2.75,5.79,4.82,2.52,
November,,,,,,5.1,6.07,2.72,0.98,1.22,3.95,5.43,2.75,3.29,4.37,3.66,6.94,1.93,2.72,
December,,,,,,0.93,2.35,3.83,2.9,4.44,4.79,8,3.98,1.46,10.1,7.65,3.85,2.62,3.15,
Total,,,,,,30.33,32.34,28.09,30.01,35.18,36.13,33.06,37.48,29.38,37.57,41.34,45.34,34.84,35.4,
,,,,,,,,,,,,,,,,,,,,
St Budeaux Redvers Road ,,,,,,,,,,,,,,,,,,,,
Exact house not found but short road with distances and elevation matching to west part of road,,,,,,,,,,,,,,,,,,,,
1909 June 20 Gauge moved 30ft E,,,,,,,,,,,,,,,,,,,,
1914 Sept 3 Gauge moved 10yds NW to centre of grass plot,,,,,,,,,,,,,,,,,,,,
