ARNFIELD RESERVOIR,,,,,,,,,,,,
Grid ref,SK012972,Long,-1.983390,Lat,53.471533,,,,,,,
Station no,2747,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.09,2.16,3.10,3.44,3.57,2.06,4.74,1.86,3.53,2.21,,
February,2.74,1.98,0.94,3.69,4.59,2.44,3.21,2.39,3.49,2.98,,
March,0.79,2.87,2.15,4.59,2.58,4.63,3.61,3.28,3.39,2.69,,
April,2.62,2.59,2.49,2.47,2.82,2.98,2.50,2.39,2.22,3.22,,
May,1.20,1.09,2.95,2.88,2.85,0.77,3.36,4.15,2.58,2.15,,
June,4.60,1.80,1.41,1.74,0.94,3.15,1.71,6.06,1.90,2.87,,
July,4.36,2.84,2.28,3.51,1.89,2.88,3.24,2.67,5.84,6.18,,
August,5.47,2.34,3.49,4.51,4.17,3.95,3.89,4.29,3.30,3.13,,
September,1.52,0.66,0.99,4.86,1.20,2.88,1.61,0.83,3.34,2.84,,
October,4.95,3.46,5.23,8.55,1.69,3.85,5.62,5.53,1.02,5.71,,
November,2.78,5.92,1.76,4.27,3.16,4.18,4.88,3.19,2.63,1.58,,
December,4.92,7.64,3.01,1.44,2.40,0.82,4.16,3.48,2.89,6.33,,
Total,41.04,35.35,29.80,45.95,31.86,34.59,42.53,40.12,36.13,41.89,,
Calc annual,41.04,35.35,29.80,45.95,31.86,34.59,42.53,40.12,36.13,41.89,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
