ARNFIELD RESERVOIR ,,,,,,,,,,,,
Grid ref,SK012972,Long,-1.983390,Lat,53.471533,,,,,,,
Station no,2747,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.57,4.74,2.07,4.44,2.36,5.19,2.84,3.91,3.67,5.99,,
February,3.43,1.54,2.64,3.05,1.46,1.55,2.65,5.83,0.46,2.29,,
March,5.10,2.60,2.71,2.45,1.82,1.42,3.65,2.08,1.96,0.99,,
April,3.06,4.00,2.85,1.00,2.14,2.59,0.64,1.36,3.07,2.34,,
May,1.82,2.37,2.38,3.79,4.11,1.51,1.27,3.28,1.07,1.68,,
June,1.39,3.28,3.86,2.88,2.62,3.67,1.91,4.81,2.85,2.00,,
July,3.46,3.66,6.68,6.86,1.27,5.98,4.66,5.33,4.18,6.80,,
August,5.05,3.41,5.58,7.20,0.98,10.74,5.60,4.83,0.39,5.97,,
September,2.49,4.45,2.73,4.93,2.24,3.03,7.98,4.45,0.24,3.47,,
October,1.20,4.57,2.10,7.30,2.40,3.25,4.57,4.13,3.31,4.31,,
November,7.26,3.20,3.84,5.52,1.69,2.07,2.30,1.57,4.73,5.53,,
December,6.14,3.95,1.86,6.37,4.62,4.77,4.97,3.56,5.68,4.08,,
Total,44.97,41.77,39.30,55.79,27.71,45.77,43.04,45.14,31.61,45.45,,
Calc annual,44.97,41.77,39.30,55.79,27.71,45.77,43.04,45.14,31.61,45.45,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
