Rainfall at,ARNFIELD RESERVOIR
,
Station no,2746,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,6.00,6.73,3.25,4.18,3.27,3.40,3.80,4.70,9.75,2.10,5.76,
February,4.95,0.50,5.50,5.18,1.20,6.55,3.25,1.62,5.36,1.00,0.70,
March,2.91,3.19,2.37,1.97,1.23,2.09,1.98,5.20,1.72,1.03,3.25,
April,4.80,1.60,3.37,2.99,1.80,2.53,2.15,4.24,1.08,2.00,3.56,
May,6.88,1.80,1.59,4.63,5.60,3.60,4.48,1.16,0.92,2.92,2.04,
June,3.06,0.33,2.78,1.52,2.80,0.09,3.25,5.15,6.70,1.39,4.80,
July,7.27,1.65,4.76,4.84,4.26,2.65,2.88,3.00,1.83,3.10,6.26,
August,2.19,5.03,5.36,4.85,6.40,3.90,5.14,4.70,5.12,5.12,5.00,
September,2.62,1.22,4.05,4.60,3.33,4.04,3.53,6.77,0.91,1.77,4.15,
October,1.05,2.65,0.81,4.46,5.40,4.60,4.18,3.55,3.74,5.44,5.50,
November,1.50,2.02,3.00,6.03,1.96,3.70,4.42,4.61,6.26,8.95,5.56,
December,2.73,6.20,4.59,4.25,4.00,3.90,2.58,1.15,2.98,6.88,2.98,
Total,45.96,32.92,41.43,49.50,41.25,41.05,41.64,45.85,46.37,41.70,49.56,
Calc annual,45.96,32.92,41.43,49.50,41.25,41.05,41.64,45.85,46.37,41.70,49.56,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
