Rainfall at,ARNFIELD RESERVOIR
,
Station no,2746(2747),
,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,4.71,1.67,3.30,3.30,3.67,6.12,3.68,3.44,2.73,4.25,
February,4.31,4.72,1.04,1.30,2.40,4.42,5.70,0.77,6.07,1.95,
March,0.73,2.57,4.80,4.57,5.46,1.76,3.03,1.98,1.40,6.95,
April,4.77,3.15,1.25,4.03,1.48,1.54,2.77,2.04,1.69,3.17,
May,3.09,2.56,2.80,2.91,2.62,1.42,3.70,2.64,2.76,1.85,
June,3.39,3.59,4.56,2.48,3.89,2.12,4.14,1.78,1.88,2.25,
July,5.65,0.59,4.53,1.13,3.75,5.21,2.60,2.55,5.04,2.55,
August,5.35,3.16,7.22,2.10,3.40,4.40,2.47,5.14,3.80,2.90,
September,0.32,3.63,2.04,1.91,2.76,1.50,2.83,2.73,10.10,2.00,
October,3.15,2.43,3.55,2.16,2.65,1.62,5.80,5.82,3.28,3.36,
November,4.97,3.81,3.25,3.82,4.34,3.86,3.72,4.49,1.93,3.50,
December,5.22,5.36,5.42,3.33,5.43,6.45,3.57,3.06,8.40,6.80,
Total,45.66,37.24,43.76,33.04,41.85,40.42,44.01,36.44,49.08,41.53,
Calc annual,45.66,37.24,43.76,33.04,41.85,40.42,44.01,36.44,49.08,41.53,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,
