Rainfall at,ARNFIELD RESERVOIR
,
Station no,2747,
,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,3.74,3.06,3.69,1.62,3.12,3.17,1.85,1.91,3.12,5.02,
February,0.81,0.57,3.30,4.91,5.76,0.71,2.86,2.70,3.38,1.10,
March,4.31,2.27,1.56,0.84,3.59,3.86,6.10,3.80,3.13,2.52,
April,0.95,1.97,1.45,0.74,2.04,1.80,2.12,3.38,2.76,3.85,
May,2.96,3.70,5.57,2.90,3.07,1.19,0.60,2.11,4.08,2.77,
June,3.95,2.95,3.51,2.54,3.77,3.21,3.39,3.42,3.19,2.06,
July,3.83,4.10,3.56,3.25,3.39,7.55,2.38,2.30,1.13,2.26,
August,5.63,7.79,4.64,3.57,5.15,4.37,3.32,3.44,6.25,2.37,
September,1.25,3.99,4.04,4.39,0.79,1.44,6.95,5.07,0.42,6.93,
October,3.00,5.56,7.74,2.91,5.91,4.11,6.26,2.12,4.45,3.95,
November,4.90,3.45,2.60,3.30,2.47,3.10,1.90,5.51,2.64,1.58,
December,0.46,6.60,2.48,3.96,3.49,4.72,4.99,4.27,5.69,3.03,
Total,35.79,46.01,44.14,34.93,42.55,39.23,42.72,40.03,40.24,37.44,
Calc annual,35.79,46.01,44.14,34.93,42.55,39.23,42.72,40.03,40.24,37.44,
Difference,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,
