ARNFIELD RESERVOIR (2nd gauge),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK011971,Long,-1.984746,Lat,53.471416,Elevation,512,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,5.02,1.68,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26,5.69,7.03,4.5,2.38,,,,,,,,,
February,0.52,0.65,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,0.72,5.45,0.28,5.1,,,,,,,,,
March,2.25,1.46,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,3.17,0.45,2.85,3.4,,,,,,,,,
April,2.09,1.15,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06,3.41,4.7,4.3,1.98,,,,,,,,,
May,7.01,2.07,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,3.03,2.09,2.11,4.3,1.75,,,,,,,,,
June,1.68,0.33,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.79,1.52,4.82,6.32,0.38,2.82,,,,,,,,,
July,3.38,1.1,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,3.11,6.36,4.78,6.62,3.66,,,,,,,,,
August,2.14,1.23,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.29,5.23,5.08,6.28,1.36,1.38,,,,,,,,,
September,3,3.58,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,1.8,4.32,4.45,4.25,1.25,,,,,,,,,
October,5.12,2.32,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.91,5.43,5.58,2.12,7.72,5.16,,,,,,,,,
November,1.82,1.9,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.35,9.09,5.65,5.61,3.52,1.9,,,,,,,,,
December,5.48,2.57,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.06,6.91,3.16,2,1.8,0.73,,,,,,,,,
Total,39.51,20.04,33.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5,50.05,51.3,41.88,31.51,,,,,,,,,
