GRUNDISBURGH-GREEN-BANK,,,,,,,,,,,,,,,,,,,,
Grid ref,TM223507,Long,1.2450105,Lat,52.109921,Elevation,100,ft,,,,,,,,,,,,
Station no,1357/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,2.38,5.77,1.24,2.03,2.69,3.57,1.51,2.04,2.08,2.52,4.02,,
February,,,,,,,,0.6,0.24,1.37,1.93,0.66,0.61,1.24,1.6,1.66,2.3,1.19,,
March,,,,,,,,0.41,2.22,2.64,3.01,2.44,0.4,0.36,0.88,1.7,4.2,0.92,,
April,,,,,,,,0.25,2.51,1.28,1.26,0.67,0.86,1.83,1.21,0.93,1.46,1.57,,
May,,,,,,,,1.84,1.09,0.44,1.95,1.67,1.51,0.56,1.99,0.99,0.39,1.19,,
June,,,,,,,,0.92,1.47,0.29,0.54,0.42,1.7,1.42,2.44,4.37,1.86,3.62,,
July,,,,,,,,1.36,2.67,2.85,2.09,2.08,0.76,2.49,1.37,3.22,1.5,1.18,,
August,,,,,,,,1.57,2.1,0.41,3.81,1.08,1.52,2.14,2.38,4.37,0.29,2.86,,
September,,,,,,,,1.97,0.5,1.04,0.2,2.1,2.29,3.32,2.09,1.91,1,1.57,,
October,,,,,,,,2.63,7.87,2.24,2.07,4.09,1.36,4.06,1.31,1.29,0.32,1.43,,
November,,,,,,,,2.28,4.38,5.84,2.43,3.01,1.98,4.27,0.66,3.55,1.47,1.93,,
December,,,,,,,,2.47,1.41,1.8,1.37,2.59,1.83,1.44,2.55,3.25,3.73,1.48,,
Total,,,,,,,,18.68,32.23,21.44,22.69,23.5,18.39,24.64,20.52,29.32,21.04,22.96,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1944 Aug Small move South (same NGR),,,,,,,,,,,,,,,,,,,,
