SCOTS GAP WALLINGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ035841,Long,-1.94662,Lat,55.151228,Elevation,446,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,3.48,4.71,4.05,2.59,2.66,1.54,3.32,2.61,2.44,,1.07,5.38,3.99,1.34,0.45,,,,,,,,,,,,,,,,0.97,1.84,1.12,3.07,4.64,2.05,1.53,4.01,1.59,0.7,2.76,1.02,2.33,2.34,3.17,2.41,4.13,4.53,3.16,3.38,,,,
February,,,,,,,3.67,1.56,3.48,3.01,2.83,3.03,3.53,1.55,2.06,,3.77,2.21,1.4,3.8,2.1,,,,,,,,,,,,,,,,0.82,1.59,1.25,1.58,5.32,2.43,1.2,3.01,2.96,0.93,1.16,1.87,1.72,2.54,3.64,2.1,3.88,1.17,2.6,4.3,,,,
March,,,,,,,3.14,2.51,1.59,2.36,1.17,1.07,4.15,2.9,2.15,,2.77,4.89,1.11,2,1.74,,,,,,,,,,,,,,,,2.68,3.73,2.36,1.71,1.93,3.02,2.07,2.44,1.93,2.41,1.67,1.61,5.05,5.48,0.64,3.46,2.71,5.53,4.42,2.48,,,,
April,,,,,,,3.31,2.22,3.49,2.12,1.13,4.78,3.95,1.09,1.52,,4.42,4.88,2.61,2.84,1.99,,,,,,,,,,,,,,,,0.66,1.5,3.29,3.39,0.84,1.19,1.53,1.7,2.19,3.06,1.08,2.63,2.19,3.91,2.7,2.19,0.25,3.87,1.25,1,,,,
May,,,,,,,1.49,1.97,1.03,3.17,1.69,0.96,1.88,2.36,2.16,,1.37,3.28,3.31,2.56,1.78,,,,,,,,,,,,,,,,0.86,1.1,1.78,3.25,1.78,3.35,2.48,2.3,2.53,1.85,4.44,3.92,3.43,2.3,2.61,1.42,3.27,3.49,1.9,2.44,,,,
June,,,,,,,1.96,1.88,0.42,1.95,1.97,2.83,2.56,2.18,1.35,,1.86,1.35,2.77,5.24,1.66,,,,,,,,,,,,,,,,2.57,3.46,2.78,1.19,4.5,1.71,2.29,1.98,1.99,2.27,2.14,4.81,0.59,2.54,1.66,5.05,6.64,1.84,3.74,0.74,,,,
July,,,,,,,3.12,5.1,0.54,1,0.65,3.29,4.36,3.08,2.49,,1.35,3.31,0.45,4.17,4.51,,,,,,,,,,,,,,,,3.3,1.92,0.91,1.8,1.61,2.64,3.21,5.26,2.23,0.65,0.85,1.07,4.29,3.53,4.52,0.69,3.55,1.41,2.86,4.98,,,,
August,,,,,,,3.23,2.08,2.27,1.19,2.23,1.87,3.85,4.21,4.11,,1.51,9.03,6.46,3.12,1.28,,,,,,,,,,,,,,,,1.93,3.27,3.28,0.82,5.06,2.28,2.35,2.74,2.79,4.1,6.63,2.79,2.89,3.25,3.63,3.1,7.15,1.93,2.55,2.71,,,,
September,,,,,,,5.35,2.16,4.25,4.38,1.56,5.15,5.79,2.17,2.24,2.06,3.82,2.17,2.12,1.17,4.46,,,,,,,,,,,,,,,,3.12,2.85,1.12,1.53,1.14,1.26,1.1,3.04,1.11,2.19,1.04,0.37,3.63,2.05,1.02,2.85,3.6,2.9,1.55,2.25,,,,
October,,,,,,,1.2,1.56,2.21,1.83,4.88,3.19,5.99,3.16,3.1,5.52,2.22,4.8,2.07,0.53,4.2,,,,,,,,,,,,,,,,5.38,2.02,7.34,3.13,6.14,2.63,2.31,8.52,0.96,3.03,6.54,5.77,3.37,3.97,2.71,4.85,5.26,3.78,3.68,2.02,,,,
November,,,,,,,3.01,0.51,2.83,2.46,2.57,2.22,5.35,2.33,3.97,4.8,3.87,2.3,5.81,2.55,3.07,,,,,,,,,,,,,,,,1.17,2.24,4.69,2.12,4.8,5.29,1.98,1.54,4.24,5.96,4.1,2.48,2.06,0.72,4.36,4.86,2.58,2.85,5.83,2.32,,,,
December,,,,,,,3.14,2.77,5.31,3.19,5.49,2.26,6.1,0.86,5.35,2.12,9.92,2.3,3.8,0.91,2.62,,,,,,,,,,,,,,,,6.17,2.92,2.25,4.01,3.04,3.23,5.39,3.51,2.33,1.16,2.91,3.81,2.06,4,2.81,4.8,4.4,1.25,8.11,7.69,,,,
Total,,,,,,,36.1,29.03,31.47,29.25,28.83,32.19,50.83,28.5,32.94,,37.95,45.9,35.9,30.23,29.86,,,,,,,,,,,,,,,,29.63,28.44,32.17,27.6,40.8,31.08,27.44,40.05,26.85,28.31,35.32,32.15,33.61,36.63,33.47,37.78,47.42,34.55,41.65,36.31,,,,
