UPPER ORRIN (LOCH NA CAOIDHE),,,,,,,,,,
Grid ref,NH228473,Long,-4.957341,Lat,57.481205,Elevation,1450,ft,,
Station no,5770/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,8,,9
February,,,,,,,,8,,5.8
March,,,,,,,,2.5,4.47,0.55
April,,,,,,,2.5,5.5,,7.23
May,,,,,,,3.5,6,,1.96
June,,,,,,,6,3.5,6.6,5.43
July,,,,,,,6.5,3,7.28,3.37
August,,,,,,,5,5,5.75,7
September,,,,,,,8,4,2.08,3.73
October,,,,,,,10,5,9.94,6.14
November,,,,,,,8,3,8.95,3.69
December,,,,,,,10,6,8.06,7.53
Total,,,,,,,,59.5,,61.43
,,,,,,,,,,
1957 NP inc,,,,,,,,,,
1958 Np Low,,,,,,,,,,
1959 Np gauge moved,,,,,,,,,,
,,,,,,,,,,
Station no,5770/1,,,,,,,,,
Midas,14542,,,,,,,,,
Hyd Stn,790019,,,,,,,,,
