MALLAIG MANSE,,,,,,,,,,,,,,,,,,,,,
Grid ref,NM 67525 96763,Long,-5.829893,Lat,57.003305,Elevation,150,ft,,,,,,,,,,,,,
Station no,5715,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,7.8,8.59,9,2.28,9.07,5.81,8.3,5.36,,,,,,,
February,,,,,,,5.29,3.37,3.84,1.19,0.59,5.47,0.36,5.96,,,,,,,
March,,,,,,,5.24,3.38,3.73,1.5,4.55,1.16,2.24,2.96,,,,,,,
April,,,,,,,2.57,6.38,3.13,2.25,1.87,2.23,4.02,,,,,,,,
May,,,,,,,3.71,2.45,0.77,4.27,2.01,3.42,2.21,,,,,,,,
June,,,,,,,2.63,3.64,4.99,3.75,3.99,5.31,1.13,,,,,,,,
July,,,,,,,3.68,2.6,4.7,4.13,2.47,5.67,6.61,,,,,,,,
August,,,,,,,5.04,4.29,3.69,6.04,8.18,2.18,2.97,,,,,,,,
September,,,,,,,6.67,4.78,4.09,4.71,4.14,2.1,6.9,,,,,,,,
October,,,,,,,6.4,7.3,7.8,8.69,8.18,6.15,9.11,,,,,,,,
November,,,,,,,4.53,5.8,6.78,5.97,6.34,6.27,7.65,,,,,,,,
December,,,,,,,5.73,0.2,6.75,7.2,7.76,7.22,5.58,,,,,,,,
Total,,,,,,,59.29,52.78,59.27,51.98,59.15,52.99,57.08,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Station no,5715,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,
