"CARLTON SCROOP HALL",,,,,,,,,,,,
Grid ref,SK941453,Long,-0.599389,Lat,52.996770,,,,,,,
Station no,RR4179,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,1.04,1.61,1.51,0.83,2.71,1.05,1.03,1.07,,
February,,,1.60,0.67,3.21,0.72,2.30,1.19,2.03,0.51,,
March,,,1.23,3.35,1.79,1.53,1.45,1.29,2.88,3.87,,
April,,,1.73,1.22,1.07,2.10,0.83,2.48,2.28,1.37,,
May,,,2.80,2.81,2.14,0.61,1.45,3.44,1.31,0.92,,
June,,,2.57,1.58,0.51,2.71,2.37,3.19,1.12,2.63,,
July,,,1.79,1.81,2.43,1.72,0.69,1.98,2.98,3.86,,
August,,,3.70,4.80,2.68,3.46,1.73,2.40,3.05,3.49,,
September,,,0.94,3.11,1.64,2.87,1.44,0.73,1.46,3.01,,
October,,,2.01,5.20,0.76,1.40,3.99,4.39,1.17,2.71,,
November,,,1.75,2.12,0.99,2.54,3.00,1.87,1.34,0.49,,
December,,,1.94,0.97,1.75,0.54,2.80,2.17,1.37,4.44,,
Total,,,23.10,29.25,20.48,21.03,24.76,26.18,22.02,28.37,,
Calc annual,0.00,0.00,23.10,29.25,20.48,21.03,24.76,26.18,22.02,28.37,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
