CARLTON - SCROOP HALL,,,,,,,,,,,,,,,,,
Grid ref,SK942453,Long,-0.598,Lat,52.997,Elevation,175,ft,,,,,,,,,
Station no,RR4179,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918
January,1.04,1.61,1.51,0.83,2.71,1.05,1.03,1.07,1.79,1.25,3.18,3.04,1.55,2.70,0.92,2.70,1.88
February,1.60,0.67,3.21,0.72,2.30,1.19,2.03,0.51,2.22,1.09,1.31,0.68,1.17,2.82,4.01,0.94,1.62
March,1.23,3.35,1.79,1.53,1.45,1.29,2.88,3.87,0.58,1.66,2.45,3.18,2.19,1.12,3.74,1.33,0.64
April,1.73,1.22,1.07,2.10,0.83,2.48,2.28,1.37,1.39,0.65,0.15,2.20,1.17,0.81,1.23,1.55,1.62
May,2.80,2.81,2.14,0.61,1.45,3.44,1.31,0.92,2.52,1.32,2.92,2.06,1.73,2.03,2.37,2.60,4.53
June,2.57,1.58,0.51,2.71,2.37,3.19,1.12,2.63,1.91,2.68,3.83,1.39,2.79,0.86,2.04,1.28,0.52
July,1.79,1.81,2.43,1.72,0.69,1.98,2.98,3.86,2.39,0.46,5.22,0.58,2.43,4.84,2.03,1.18,3.54
August,3.70,4.80,2.68,3.46,1.73,2.40,3.05,3.49,3.36,1.59,6.01,0.34,1.48,2.79,2.32,6.17,1.57
September,0.94,3.11,1.64,2.87,1.44,0.73,1.46,3.01,1.01,1.40,1.30,2.30,0.78,0.90,1.93,1.32,3.83
October,2.01,5.20,0.76,1.40,3.99,4.39,1.17,2.71,2.45,2.23,1.87,5.17,2.18,1.23,1.95,2.67,1.61
November,1.75,2.12,0.99,2.54,3.00,1.87,1.34,0.49,2.96,2.54,2.00,2.06,3.46,2.50,3.65,1.19,2.11
December,1.94,0.97,1.75,0.54,2.80,2.17,1.37,4.44,5.15,4.08,3.25,0.93,4.41,5.09,2.81,0.69,2.88
Total,23.10,29.25,20.48,21.03,24.76,26.18,22.02,28.37,27.73,20.95,33.49,23.93,25.34,27.69,29.00,23.62,26.35
,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/084,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/039,,,,,,,,,,,,,,,,,
