WINCANTON-(RECTORY),,,,,,,,
Grid ref,ST713287,Long,-2.41045,Lat,51.05692,Elevation,344,ft
Station no,RR6871,,,,,,,
,,,,,,,,
,1897,1898,1899,1900,,,,
January,,1.29,4.44,4.16,,,,
February,,2.48,3.06,4.48,,,,
March,,1.11,0.65,1.77,,,,
April,3.3,2.66,2.97,2.26,,,,
May,1.98,4.3,1.93,,,,,
June,2.78,2.2,1.3,,,,,
July,0.69,0.63,1.02,,,,,
August,4.71,1.71,2.9,,,,,
September,4.12,1.58,3.37,,,,,
October,1.53,4.21,2.22,,,,,
November,1.21,3.54,4.3,,,,,
December,6.08,3.21,2.6,,,,,
Total,,28.92,30.76,,,,,
,,,,,,,,
Rectory High St,,,,,,,,
1897 Mar 24 Gauge moved 0.25 miles N from Station Rd,,,,,,,,
Same observer,,,,,,,,
1900 May 22 Gauge moved 300yds W to South St,,,,,,,,
