WINCANTON-(STATION-ROAD),,,,,,,,
Grid ref,ST710284,Long,-2.41437,Lat,51.05475,Elevation,242,ft
Station no,RR6871,,,,,,,
,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897
January,,,2.08,2.21,2.57,3.49,1.16,1.99
February,,,2.12,3.7,3.06,0.17,0.48,4.32
March,,,0.66,0.64,2,2.6,4.02,
April,,,1.19,0.16,2.44,2.74,0.82,
May,,,0.94,1.2,1.89,0.47,0.12,
June,,,1.52,1.48,3,0.96,1.53,
July,,,1.87,3.75,6.55,4.24,0.89,
August,,,4.45,2.21,2.16,3.37,2.2,
September,,,2.45,2.29,2.43,1,6.89,
October,,,3.54,3.69,3.73,3.37,2.35,
November,,,2.45,2.21,6.53,6.54,1.01,
December,,4.64,1.59,3.33,3.15,2.91,5.48,
Total,,,24.86,26.87,39.51,31.86,26.95,
,,,,,,,,
8 Station Rd,,,,,,,,
1897 Mar 24 Gauge moved 0.25 miles N to Rectory,,,,,,,,
