"SKYE (GRULA)",,,,,,,,,,,,
Grid ref,NG384266,Long,-6.339258,Lat,57.255002,,,,,,,
Station no,5757/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,16.34,9.67,7.19,8.52,5.70,6.40,12.46,12.69,6.92,5.27,,
February,4.61,5.22,6.18,7.97,5.87,5.99,6.11,5.11,3.22,7.37,,
March,4.74,9.18,2.61,7.12,2.45,3.13,9.45,3.23,6.86,2.31,,
April,5.37,3.60,8.84,2.91,7.81,3.26,5.75,3.99,6.13,5.72,,
May,0.56,3.75,4.81,5.90,3.92,7.15,2.66,6.54,1.76,4.00,,
June,3.10,6.41,2.43,7.99,6.68,4.40,4.00,2.83,5.18,5.68,,
July,8.13,6.18,10.46,7.48,2.86,8.29,6.49,2.59,10.88,4.97,,
August,7.93,7.16,6.90,6.87,2.34,7.03,7.47,7.03,6.32,4.71,,
September,6.18,6.41,8.67,10.52,12.38,4.87,6.41,6.21,6.18,5.74,,
October,7.07,9.35,13.78,13.00,12.49,7.32,12.11,8.86,10.99,2.19,,
November,9.07,4.10,16.37,13.50,4.17,10.82,7.96,6.50,11.06,10.39,,
December,13.06,11.94,9.37,10.24,9.38,10.71,6.92,5.77,13.87,11.84,,
Total,86.16,82.97,97.61,102.02,76.05,79.37,87.79,71.35,89.37,70.19,,
Calc annual,86.16,82.97,97.61,102.02,76.05,79.37,87.79,71.35,89.37,70.19,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
