BRIDGWATER (BLACKLANDS STREET),,,,,,,,,,,,
Grid ref,ST295373,Long,-3.008900,Lat,51.130619,,,,,,,
Station no,2082/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,2.51,0.29,2.23,4.84,3.23,2.69,2.13,3.40,3.22,,
February,4.53,0.86,1.53,2.63,2.42,0.21,3.91,2.74,0.27,2.79,,
March,,2.23,0.49,3.69,1.17,0.64,1.86,0.73,3.05,1.98,,
April,,2.09,3.00,0.18,1.05,1.42,0.02,0.51,2.83,2.37,,
May,,3.54,1.75,1.74,3.66,0.37,1.48,2.64,0.77,1.06,,
June,,2.45,2.25,2.63,2.49,1.46,3.27,3.10,0.85,1.12,,
July,,0.34,2.06,2.91,1.69,1.91,2.71,2.41,1.63,5.77,,
August,4.54,4.40,2.88,2.26,0.75,3.67,2.66,2.46,1.06,3.35,,
September,2.30,2.75,2.76,3.17,0.80,3.93,3.33,4.36,0.11,3.11,,
October,,3.83,2.80,2.40,1.25,1.84,2.09,1.86,3.29,8.99,,
November,6.11,4.48,1.99,5.63,3.23,0.65,2.08,2.54,4.76,3.21,,
December,,2.36,0.65,3.04,4.32,3.78,2.17,4.15,5.91,3.00,,
Total,,31.84,22.45,32.51,27.67,23.11,28.27,29.63,27.93,39.97,,
Calc annual,17.48,31.84,22.45,32.51,27.67,23.11,28.27,29.63,27.93,39.97,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,,
