WORKINGTON PARK END,,,,,,,,,,,,,,,,,,,,
Grid ref,NY008285,Long,-3.5386328,Lat,54.641825,Elevation,124,ft,,,,,,,,,,,,
Station no,RR7624,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,3.21,3.1,6.33,4.02,2.47,7.36,,,,,,,
February,,,,,,,,1.8,3.58,5.03,3.07,2.71,3.38,,,,,,,
March,,,,,,,,1.04,5.08,1.03,2.29,2.38,3.1,,,,,,,
April,,,,,,,,3.76,2.38,2.86,1.57,2.09,1.78,,,,,,,
May,,,,,,,,1.78,2.62,2.1,2.68,0.81,1.97,,,,,,,
June,,,,,,,,1.15,1,1.49,2.12,1.63,5.58,,,,,,,
July,,,,,,,,3.12,1.02,1.93,0.97,3.33,3.65,,,,,,,
August,,,,,,,,3.19,3.35,1.54,1.45,3.06,3.57,,,,,,,
September,,,,,,,,4.15,1.72,6.49,3.85,2.14,6.15,,,,,,,
October,,,,,,,,4.53,5.29,3.18,7.33,3.41,7.07,,,,,,,
November,,,,,,,,0.47,1.95,4.97,2.68,2.99,4.65,,,,,,,
December,,,,,,,,3.68,7.71,4.46,1.55,4.32,5.36,,,,,,,
Total,,,,,,,,31.88,38.8,41.41,33.58,31.34,53.62,,,,,,,
