"THORPE ST. ANDREW (PINE BANKS)",,,,,,,,,,,,
Grid ref,TG254086,Long,1.329079,Lat,52.628327,,,,,,,
Station no,RR2165,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.90,,,,,,,,,,,
February,3.17,,,,,,,,,,,
March,3.34,,,,,,,,,,,
April,3.66,,,,,,,,,,,
May,1.52,,,,,,,,,,,
June,1.34,,,,,,,,,,,
July,2.17,,,,,,,,,,,
August,3.45,,,,,,,,,,,
September,2.25,,,,,,,,,,,
October,0.70,,,,,,,,,,,
November,3.64,,,,,,,,,,,
December,1.33,,,,,,,,,,,
Total,29.47,,,,,,,,,,,
Calc annual,29.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
