KENLEY-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ325601,Long,-0.099785,Lat,51.324577,Elevation,275,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2.47,1.19,3,4.13,0.79,4.68,1.41,1.57,3.28,4.26,3.27,2.48,3.34,1.68,2.58,2.5,3.3,2.54,4.02,1.21,3.34,2.16,2.94,2.08,2.14,1.16,5.56,4.8,2.79,4.68,1.99,1.89,2.83,5.38,2,2.26,2.47,2.15,3.73,1.3,1.04,3.95,2.68,1.3,1.33,2.79,4.13,1.76,2.73,3.05,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,4.31,1.6,2.33,1.09,4.64,5.63,4.36,0.86,1.45,2.47,0.68,0.25,2.75,4.42,0.69,4.75,2.5,4.82,1.77,0.62,0.85,2.33,0.35,2.67,0.42,3.46,2.22,4.22,0.68,1.56,1.86,2.68,0.56,1.42,0.74,1.81,2.32,1.62,1.82,1.43,5.08,7.2,0.88,1.58,2.47,1.71,0.34,3.39,2.06,0.04,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,1.49,2.17,4.28,2.84,4.9,0.61,4.61,1.54,1.08,4.08,1.93,1.7,2.25,2.16,1.24,0.76,0.35,3.12,2.69,0.06,1.43,0.43,1.86,3.77,2.68,0.29,1.32,3.84,0.38,1.46,3.3,3.27,1.83,0.3,0.03,1.14,1.68,5.93,0.83,0.92,1.4,3.68,3.08,0.4,2.36,1.27,0.81,1.16,1.53,2.28,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,1.99,2.26,0.07,3.04,1.04,1.64,1.43,2.59,4.43,2.95,3.55,1.23,3.43,2.2,4.29,3.09,5,1.98,2.18,1.11,1.6,4.48,2.65,0.67,3.62,3.18,1.98,2.37,0.24,2.69,2.2,2.16,1.58,1.11,1.62,1.25,2.51,2.06,1.59,1.65,3.54,2.92,1.28,2.56,0.25,0.24,1.32,0.19,1.49,2.49,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,2.13,1.55,1.21,1.43,1.38,2.93,3.09,1.81,2.26,0.13,0.75,1.62,0.99,3.04,3.75,2.09,1.55,1.03,2.13,2.09,3.29,3.15,4.37,1.87,0.65,1.39,0.34,2.11,2.23,1.8,1.08,1.86,2.75,2.73,0.62,2.89,3.01,1.66,1.93,1.77,1.23,2.38,1.28,1.98,3.02,4.17,0.38,1.38,2.37,0.75,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,2.52,2.26,3.14,0.3,1.2,0.77,3.15,1.68,0.75,1.12,1.76,0.28,1.54,0.49,2.63,0.16,4.06,3.53,2.87,1.14,0.65,1.73,1.04,2.44,1.19,3.01,2.64,1.58,0.52,0.92,0.41,2.11,0.46,1.42,1.43,2.09,3.36,2.75,3.26,1.08,1.34,1.06,1.2,1.75,3.58,2.27,2.98,0.98,4.98,1.01,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,2.48,0.29,1.87,2.3,1.94,3.91,1.47,4.89,6.2,1.91,4.82,0.16,3.39,2.53,3.75,3.75,2.15,2.42,1.99,2.55,2.22,2.7,2.45,1.85,1.65,1.15,3.91,1.06,1.81,2.69,2.49,2.49,1.83,1.68,1.88,3.65,2.4,1.35,1.45,1.44,2.76,2.61,0.76,3.66,2.73,0.38,4.99,3.44,2.76,0.8,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,3.8,0.64,5.65,1.88,1.89,2.86,3.01,5.86,0.98,2.5,1.52,1.4,2.75,2.51,3.14,2.62,2.25,4.18,2.88,2.15,3.24,4.81,1.23,0.69,2.25,2.87,1.5,3.04,3.29,3.37,0.02,3.53,2.31,1.25,2.63,1.93,4.69,0.2,4.86,1.58,1.71,3.61,2.84,1.6,3.02,1.47,2.89,2.92,2.75,2.16,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,1.24,1.2,3.67,1.68,0.78,1.97,1.45,2.81,5.75,1.55,3.2,1.2,2.15,1.61,4.22,3.04,1.23,5.03,0.84,0.12,3.59,1.7,2.01,2.64,1.57,4.36,2.55,2.04,2.77,1.59,1.9,0.69,1.63,1.63,2.97,1.91,3.35,1.25,1.88,0.42,3.02,2.91,2.99,2.89,2.19,2.22,2.64,2.83,5.76,0.22,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,2.98,3.91,2.91,4.39,1.73,2.39,5.34,4.17,2.02,0.95,1.5,0.85,1.4,6.34,3.82,3.63,3,1.67,5.95,3.78,1.3,0.78,6.11,2.17,2.26,4.19,2.28,2.85,2.87,5.93,3.25,1.05,3.88,2.92,4.23,3.28,1.45,0.31,2.08,6.68,0.41,1.09,2.98,4.17,2.29,3.71,1.25,1.92,3.3,2.61,5.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,3.52,5.08,2.53,2.9,4.13,3.05,5.77,1.68,2.45,1.85,1.45,1.75,2.01,2.04,3.64,3.13,6.53,2.91,2.76,6.7,4.57,3.7,1.14,1.32,3.13,5.59,3.91,1.9,3.47,4.88,7.05,2.91,1.82,1.61,4.51,0.2,4.5,1,1.8,3.13,6.61,6.73,3.44,1.47,5.64,1.16,0.68,3.12,1.74,3.19,4.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,3.77,7.45,3.41,1.25,8.61,6.23,3.24,2.25,2.68,4.59,2.61,1.72,4.74,2.76,4,2.83,0.55,4.33,3.18,7.41,2.33,0.75,0.61,0.49,7.77,4.19,2.71,4.21,3.31,1.61,1.36,1.99,2.98,2.25,2.74,3.51,3.47,2.69,3.97,1.57,1.72,3.07,2.3,0.71,1.88,2.55,3.74,2.43,3.29,5.46,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,32.7,29.6,34.07,27.23,33.03,36.67,38.33,31.71,33.33,28.36,27.04,14.64,30.74,31.78,37.75,32.35,32.47,37.56,33.26,28.94,28.41,28.72,26.76,22.66,29.33,34.84,30.92,34.02,24.36,33.18,26.91,26.63,24.46,23.7,25.4,25.92,35.21,22.97,29.2,22.97,29.86,41.21,25.71,24.07,30.76,23.94,26.15,25.52,34.76,24.06,32.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
