LINCOLN - DODDINGTON HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK900700,Long,-0.654,Lat,53.219,Elevation,92,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918
January,2.57,1.87,1.21,2.05,1.58,3.14,1.53,1.21,0.26,0.66,1.90,2.26,2.37,1.53,2.87,2.14,0.52,1.53,2.39,0.98,0.96,1.86,2.06,3.28,0.91,1.90,0.63,1.82,3.31,0.81,0.75,1.84,1.79,0.67,2.76,0.85,0.81,1.11,1.76,1.16,2.86,2.56,0.91,2.48,0.72,3.00,2.01
February,2.17,1.41,1.34,1.21,2.07,2.04,1.16,2.55,1.56,3.50,1.12,2.72,1.55,2.45,0.23,0.49,1.40,1.98,0.90,0.05,1.78,2.07,1.32,0.20,0.70,2.79,0.47,1.31,3.72,1.52,1.52,0.52,2.60,0.60,2.11,1.28,1.66,0.58,2.11,0.88,1.18,0.70,0.80,2.88,3.80,1.12,1.68
March,1.55,1.36,0.58,0.59,2.37,1.99,0.64,0.58,1.77,1.70,1.05,1.06,1.46,1.16,2.62,1.50,2.26,3.63,1.49,0.91,0.89,0.23,0.44,1.72,1.65,2.14,1.47,0.86,0.75,2.01,1.44,3.22,1.60,1.86,1.41,1.40,2.26,2.67,0.59,1.26,2.29,1.92,1.78,1.11,3.30,1.30,0.98
April,3.63,0.78,1.36,0.61,2.69,3.40,1.48,1.85,1.65,0.92,2.95,2.03,1.13,1.78,1.61,1.01,2.06,2.05,0.46,1.54,1.27,0.24,2.32,1.84,0.66,1.16,2.23,2.15,1.10,1.09,1.98,1.30,0.64,1.65,0.60,1.84,2.14,1.51,1.55,1.08,0.15,1.96,0.74,0.76,1.94,2.08,1.45
May,1.55,2.08,1.16,1.13,0.49,2.10,3.83,3.30,1.15,1.52,2.65,1.56,0.88,1.51,4.29,1.56,0.77,3.90,2.07,3.25,2.72,1.53,1.62,0.67,0.62,1.46,2.09,3.53,1.48,1.10,2.11,2.68,2.38,0.46,1.36,3.10,1.70,0.76,2.27,1.27,2.78,1.72,1.48,1.90,2.68,2.20,1.97
June,3.56,1.17,-999.00,1.66,2.46,1.36,1.91,2.80,2.87,1.42,3.53,3.43,0.51,2.55,0.98,0.37,1.38,0.77,1.72,3.06,3.17,0.92,2.47,2.41,4.52,2.71,1.11,1.30,1.79,1.50,1.97,1.06,0.46,3.04,1.56,2.43,1.26,2.41,1.20,2.84,3.38,0.69,1.84,3.16,1.50,1.02,1.06
July,3.89,2.05,-999.00,3.86,0.87,2.79,0.65,3.66,4.92,1.53,3.04,2.81,2.71,0.31,2.33,0.97,6.39,1.85,2.08,1.95,2.48,3.53,3.18,3.47,2.79,0.61,0.79,0.68,1.47,2.47,1.20,2.04,3.06,1.18,0.71,1.63,2.27,3.62,2.36,0.29,4.06,0.48,2.22,4.48,1.83,1.32,2.52
August,2.66,2.41,1.89,1.92,1.53,3.86,7.76,2.73,1.26,4.96,3.72,1.13,1.51,1.68,1.87,0.99,2.39,3.80,2.17,3.01,2.30,0.70,1.76,2.26,1.58,2.95,2.41,0.71,5.29,1.50,2.54,5.27,3.03,3.36,0.84,2.24,2.07,3.10,3.37,1.21,5.32,1.36,1.32,2.35,3.75,6.59,2.07
September,2.74,1.38,1.64,1.91,3.29,2.20,2.32,3.00,3.68,1.79,1.68,4.88,1.57,2.61,1.23,2.47,1.80,2.08,1.12,0.91,1.63,0.71,0.79,0.68,3.39,2.37,0.50,2.12,0.76,1.52,0.54,3.02,1.46,1.60,0.80,0.68,1.38,2.32,0.29,1.49,1.26,1.25,1.42,0.77,1.58,1.13,3.62
October,4.08,2.52,1.81,3.86,2.29,1.21,2.08,0.78,5.17,1.80,4.87,3.37,0.98,5.17,3.67,2.12,0.48,4.04,0.86,4.26,4.37,1.48,2.72,2.52,3.68,0.72,2.62,2.86,2.47,1.46,2.20,5.72,0.30,1.40,4.65,4.42,0.82,2.79,1.53,1.82,2.10,2.77,1.89,1.16,1.76,2.77,1.58
November,3.14,1.96,2.08,3.71,2.94,1.78,2.88,1.47,2.64,2.06,2.73,2.79,1.34,2.26,1.65,1.58,3.03,0.42,2.60,2.47,0.93,2.26,1.90,3.12,1.33,1.72,1.88,1.23,2.28,2.20,1.56,1.64,0.94,2.55,2.48,2.01,0.99,0.26,3.10,2.41,2.18,2.18,2.31,2.15,3.01,1.33,2.46
December,2.94,0.16,2.19,1.12,4.70,1.55,1.61,0.64,2.39,2.21,4.20,1.36,1.33,0.92,3.07,0.84,1.84,1.46,0.60,2.61,0.48,1.70,1.68,1.80,3.42,2.21,1.89,2.49,3.46,5.02,1.63,0.76,1.34,0.56,2.21,1.74,1.50,4.12,3.56,3.75,2.71,0.79,4.57,5.13,2.57,0.88,3.85
Total,34.48,19.15,16.54,23.63,27.28,27.42,27.85,24.57,29.32,24.07,33.44,29.40,17.34,23.93,26.42,16.04,24.32,27.51,18.46,25.00,22.98,17.23,22.26,23.97,25.25,22.74,18.09,21.06,27.88,22.20,19.44,29.07,19.60,18.93,21.49,23.62,18.86,25.25,23.69,19.46,30.27,18.38,21.28,28.33,28.44,24.74,25.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_06_pt3/072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_08_pt1/086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Readings for 1870 and 1871 are from Lincoln St Botolphs and have been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The 1876 readings are duplicated on the Skellingthorpe Hall sheet. The values originated from Doddington Hall and have been retained here.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The June-July 1874 readings are grouped into a single aggregate reading of 1.28 on the sheet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
