ROMSEY-HAREFIELD,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU368218,Long,-1.4768,Lat,50.99454,Elevation,120,ft,,,,,,,,,,,,,
Station no,654,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,3.63,6.31,1.58,3.26,4.14,4.99,2.63,5.62,1.47,4.72,2.24,2.63,2.24,2.51,0.64,5.53,6.66,3.14,5.51,
February,,0.31,3.25,5.95,0.44,4.25,2.01,4.19,2.47,0.93,1.34,2.18,0.13,4.22,0.11,4.06,3.1,5.28,0.66,1.59,
March,,1.35,2.31,2.04,1.51,0.55,0.6,3.02,3.21,0.13,1.56,0.67,1.86,4.05,2.91,1.02,2.84,3.81,0.28,1.17,
April,,1.27,4.04,3.51,3.29,2.53,3.26,2,1.98,0.85,2.76,2.85,3.52,1.24,1.91,3.44,1.95,1.93,0,1.84,
May,,1.37,0.96,1.97,3.72,4.5,1.97,0.57,1.44,2.29,2,3.14,4.96,2.15,0.91,1.05,0.69,3.68,1.96,1.04,
June,,0.21,1.61,0.47,2.04,0,2.74,2.53,2.36,1.67,0.68,2.42,1.78,2.69,1.13,4.64,3.11,1.83,0.57,2.38,
July,,0.78,4.32,1.21,4.13,3.11,1.47,3.12,1.31,1.68,1.85,3.4,1.88,2.4,1.47,2.04,3.9,1.16,2.73,4.89,
August,,2.2,3.27,2.9,2.67,2.51,0.94,3.75,2.07,1.5,3.9,4.4,1.26,1.02,2.87,2.64,0.73,1.05,2.1,2,
September,,0.78,1.61,2.21,4.22,3.57,0.85,5.57,1.39,0.24,3.42,1.46,3.64,3.8,1.62,4.12,3.14,1.94,1.57,1.6,
October,,0.97,1.45,6.19,4.3,3.6,2.18,1.99,6.41,3.89,1.99,0.66,5.1,1.85,1.47,5.62,1.54,4.3,2.94,5.97,
November,,2.35,1.96,2.19,3.09,2.69,9.14,3.13,2.82,9.52,5.05,4.07,1.99,0.73,2.5,8.65,3.04,1.89,5,6.17,
December,,1.63,4.45,2.88,5.73,3.62,0.46,3.25,3.01,7.86,3.74,0.67,1.4,0.66,9.27,4.01,3.68,4.13,4.3,1.78,
Total,,16.85,35.54,33.1,38.4,35.07,30.61,35.75,34.09,32.03,33.01,28.16,30.15,27.05,28.68,41.93,33.25,37.66,25.25,35.94,
,,,,,,,,,,,,,,,,,,,,,
Open position,,,,,,,,,,,,,,,,,,,,,
Large gardens Kitchen garden too high so NGR near house,,,,,,,,,,,,,,,,,,,,,
1940 Station terminated,,,,,,,,,,,,,,,,,,,,,
