KINGSCOTE-NURSERY,,,,,,,,,,
Grid ref,TQ367358,Long,-0.048799524,Lat,51.105208,Elevation,300,ft,,
Station no,575/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,3.93,5.23,3.3,3.48,3.37,4.33
February,,,,,2.25,0.44,6.36,2.55,0.02,3.01
March,,,,,1.48,1.1,1.55,2.08,2.21,2.18
April,,,,,0.35,1.59,0.14,1.93,3.24,0.88
May,,,,,5.05,0.56,1.63,3.74,0.54,1.51
June,,,,,2.38,2.47,0.96,4.22,1.09,2.19
July,,,,,0.81,4.15,3.67,2.54,2.15,4.09
August,,,,,0.81,3.59,3.38,3.9,1.01,4.92
September,,,,,2.7,3.7,3.42,,0.06,3.44
October,,,,,4.84,1.97,1.82,3.11,3.81,8.95
November,,,,,1.75,0.89,4.77,2.1,4.3,8.04
December,,,,,3.76,5.63,3.15,4.89,8.72,4.74
Total,,,,,30.11,31.32,34.15,,30.52,48.28
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1958 Sep estimated,,,,,,,,,,
