NETHER-MOOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK143875,Long,-1.7864755,Lat,53.384155,Elevation,1460,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2690/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,,,6.85,8.35,,7.8,3.67,11.7,4.69,4.56,,6.52,3.18,6.1,3.55,8.9,4.85,6.85,,8.19
February,,,,,,,,,,,,2.6,4.25,3.29,6.92,-999,4,4.6,3.14,6.69,5.5,4.52,3.1,4.06,3.6,,3.75,8.85,0.86,3.72
March,,,,,,,,,,3.2,,2.26,2.15,1.09,1.78,-999,8.1,2.34,2.58,2.24,7.73,3.2,3.9,4.62,4.1,2.7,3.75,3.08,2.3,2.29
April,,,,,,,,,,,2.36,2.49,,3.68,3.14,2.08,4.58,3.11,4.93,5.75,3,3.22,3.5,0.91,2.49,2.1,0.5,,,3.89
May,,,,,,,,,,0.9,3.7,3.8,3.9,4.51,3.96,1.76,4.2,2.12,2.3,2.6,3.06,4.02,2.64,3.65,5.51,1.5,,4.3,1.32,2.37
June,,,,,,,,,,0.79,2.83,1.06,3.3,4.4,4.6,5.9,3.08,6.2,0.83,2.65,2.03,3.32,4.18,3.8,4.3,4.85,1.4,4.75,,
July,,,,,,,,,,5.4,3.76,6.1,2.2,4.24,1.62,5.07,3.3,2.8,3.1,3.44,3.46,3.2,6.05,8.4,0.85,10,5.55,,,6.51
August,,,,,,,,,,2.48,7.45,4.3,6.22,2.93,3.68,4.95,0.16,6.25,3.4,3.95,5.6,3.18,5.75,8.6,0.75,12,9.3,3.56,,4.73
September,,,,,,,,,,4.8,0.6,,5.25,6.76,3.01,7.46,2.58,2.6,2.1,7.16,3.48,8.46,3.75,7.3,2.87,4.87,,6.02,0.19,5.02
October,,,,,,,,,,4.75,6.72,7.62,3.12,6,9.65,1.6,1.08,3.13,5.75,2.94,1.28,8.35,2.65,8.95,4.68,4.57,,4.51,,6.72
November,,,,,,,,,,9.8,4.56,,5.55,7.9,0.88,11.05,8.9,2.92,8.95,7.95,11.94,4.59,3.52,9.25,3.2,,3.4,1.78,5.32,
December,,,,,,,,,,7.25,,,3.18,4.95,4.1,5.4,7.4,3.81,10.58,3.78,7.51,6.06,2.98,10.25,8,7.2,7.25,5.1,9.34,
Total,,,,,,,,,,,,,,58.1,,66.56,51.05,51.58,52.35,53.71,,58.64,45.2,75.89,43.9,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 3283 NETHER MOOR Start 1940 end 1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is near Nether Moor. Stated altitude is 50 ft. too high or the gauge is 100m W to match the altitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
