"SUNDRIDGE (PUMPING STATION)",,,,,,,,,,,,
Grid ref,TQ489556,Long,0.133541,Lat,51.280089,,,,,,,
Station no,377,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.87,2.95,1.08,1.72,3.65,4.51,1.85,3.06,2.82,2.94,,
February,6.80,0.95,1.92,2.31,2.23,0.46,4.06,2.33,0.08,2.24,,
March,3.96,3.25,0.40,2.78,1.48,0.99,1.41,1.99,1.65,1.72,,
April,3.06,1.52,2.56,0.31,0.25,1.44,0.18,1.54,1.99,0.96,,
May,2.11,1.25,1.68,2.60,4.35,0.75,1.58,1.66,1.06,2.04,,
June,1.45,1.41,1.75,3.45,1.99,3.56,1.11,4.74,1.18,1.90,,
July,2.93,0.71,4.01,3.02,0.27,4.24,3.91,2.12,1.80,3.17,,
August,5.26,3.99,1.84,3.36,1.00,2.35,2.87,4.03,0.88,3.52,,
September,3.30,3.04,3.86,2.43,2.56,2.61,3.10,7.12,0.16,3.57,,
October,1.46,3.00,3.89,2.20,5.03,1.41,1.66,3.34,3.38,7.58,,
November,4.86,4.67,1.44,5.07,0.99,0.92,4.21,1.63,3.45,5.46,,
December,2.69,2.91,0.94,1.77,2.72,3.89,2.30,3.59,5.56,3.94,,
Total,40.75,29.65,25.37,31.02,26.52,27.13,28.24,37.15,24.01,39.04,,
Calc annual,40.75,29.65,25.37,31.02,26.52,27.13,28.24,37.15,24.01,39.04,,
Difference,0.00,-0.00,-0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,,
