CHORLEY (BENGAL ST. STONE YARD),,,,,,,,,,,,,,,,,,,,
Grid ref,SD585180,Long,-2.6294163,Lat,53.656835,Elevation,285,ft,,,,,,,,,,,,
Station no,3006/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,5.28,1.83,1.77,4.77,4.48,5.32,,,,,,
February,,,,,,,,,3.21,2.16,5.27,1.27,2.27,1.5,,,,,,
March,,,,,,,,,1.94,2.49,3.18,2.69,0.99,0.64,,,,,,
April,,,,,,,,,2.24,2.3,1.71,1.93,2.43,2.16,,,,,,
May,,,,,,,,,1.24,1.27,1.98,3.48,2.94,2.78,,,,,,
June,,,,,,,,4.57,3,0.8,0.45,0.85,3.54,2.72,,,,,,
July,,,,,,,,3.56,6.3,5.72,1.36,4.66,3.44,3.32,,,,,,
August,,,,,,,,2.58,2.11,2.39,5.41,4.14,6.61,2.86,,,,,,
September,,,,,,,,2.69,1.02,3.72,1.22,3.42,4.99,6.51,,,,,,
October,,,,,,,,7.96,2.16,4.11,4.87,5.89,4.3,4.72,,,,,,
November,,,,,,,,5.15,6.49,6.53,2.32,1.08,3.68,6.77,,,,,,
December,,,,,,,,5.01,2.74,4.25,2.52,4.43,2.44,3.7,,,,,,
Total,,,,,,,,,37.73,37.57,32.06,38.61,42.11,43,,,,,,
