CHATTERIS-HORSEWAY-LOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL435868,Long,0.11066,Lat,52.460299,Elevation,13,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR3053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,1.2,0.81,1.25,1.18,1.61,0.93,0.75,0.23,0.5,1.17,0.91,0.79,0.67,1.15,0.73,0.46,0.67,1.57,0.69,0.35,1.02,1.37,1.71,0.68,0.77,0.99,1.02,1.93,0.31,0.35,1.48,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,0.78,0.63,0.54,0.51,1.58,1.36,0.84,1.47,0.94,1.14,1.35,1.99,0.38,1.67,0.1,0.63,0.9,1.23,0.8,0,1.55,1.51,0.79,0.1,0.55,2.03,0.56,0.62,2.31,0.5,0.6,0.25,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,1.2,0.78,0.65,0.21,1.33,1.03,0.22,0.56,0.58,0.79,0.96,0.8,0.56,0.7,1.14,1.12,2.04,0.57,1.44,0.96,0.29,0.12,0.28,1.43,2.25,1.58,0.64,0.47,0.41,1.03,0.65,1.39,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,1.35,0.87,0.72,0.7,2,2.46,1.09,1.9,1.59,1.15,1.21,1.33,0.71,0.98,1.09,1.04,1.95,2,0.94,0.56,0.93,0.13,1.14,1.15,0.72,1.05,1.46,1.09,0.52,1.43,0.67,1.3,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,1.22,1.56,1.55,1.19,0.94,1.38,4.34,2.55,0.69,0.69,1.31,0.92,0.5,2.19,2.39,1.92,0.38,3.36,1.97,2.5,0.99,0.61,1.61,0.71,0.24,1.08,2.75,1.22,0.76,0.7,2.48,1.96,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,2.4,1.94,0.79,1.96,2,1.6,1.6,3.76,1.78,2.11,2,4.64,0.94,1.81,1.2,0.46,1.54,1.83,2.36,1.33,2.11,0.47,2.02,1.11,1.64,1.92,1.82,0.93,1.08,1.07,2.2,1.85,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,5.41,1.59,0.8,4.6,1.42,1.87,0.62,3.32,5.19,1.72,1.83,2.05,2.55,0.8,4.45,0.77,3.87,3.69,2.26,3.25,2.54,2.46,3.03,1.78,1.01,0.15,1.06,1.03,1.25,0.98,1.41,3.38,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,3.71,2.48,1.67,2.13,1.57,2.56,4.29,3.05,3.57,2.95,1.76,0.83,1.26,1.02,2.36,1.33,2.16,1.82,1.18,3.62,1.43,1.32,2.67,2.83,1.99,1.9,2.33,0.89,1.27,1.25,1.74,1.87,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,1.27,2.12,1.78,1.62,2.79,1.36,0.69,2.45,3.42,2.46,1.6,3.79,1.28,2.82,0.96,1.69,0.88,2.68,0.27,0.8,2.22,0.86,1.5,0.81,3.32,3.84,0.2,3.55,0.35,0.69,1,1.94,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,2.58,1.69,1.41,2.73,0.69,0.92,1.32,0.65,3.79,1.7,3.31,1.14,0.97,3.65,2.5,1.32,0.5,2.49,0.81,3.19,3.59,2.89,1.57,1.81,2.87,0.84,1.92,2.17,1.17,1.3,0.99,3.91,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,1.75,1.39,1.27,3.15,1.73,2.1,2.65,0.75,1.04,1.23,2,2.66,0.91,1.94,1.82,1.16,2.79,0.46,1.23,0.86,1.37,1.39,2.8,2.67,0.62,0.74,0.79,1.2,1.26,0.55,0.8,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
