DENVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF614016,Long,0.3810664,Lat,52.588243,Elevation,80,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1460/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,1.96,2.38,1.79,0.8,0.69,2.16,2.07,0.83,1.7,1.68,3,1.28,1.63,1.31,1.9,3.48,0.57,0.82,1.59,1.59,1.08,3.43,1.11,1.19,0.62,1.71,1.71,3.15,2.68,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,2.17,0.28,0.72,1.95,1.55,0.74,0.05,2.13,2.18,1.16,0.11,0.78,2.21,0.76,0.84,2.98,1.16,0.92,0.38,2.81,1.06,2.42,0.4,1.57,0.38,2.14,1.49,1.16,0.62,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,0.87,1.67,1.46,2.5,0.98,2.53,0.97,0.63,0.14,0.56,2.01,3.36,2.38,1.85,0.73,0.65,1.53,1.32,2.43,1.03,2.21,1.7,0.58,1.87,3.15,0.81,2.58,2.64,2.32,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,1.18,1.5,0.97,1.58,2.3,0.25,0.61,1.33,0.09,1.76,1.34,0.92,1.67,1.11,1.91,0.92,2.11,1.08,1.34,0.8,1.96,0.41,2.19,3.26,0.98,2.33,1.26,0.23,1.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,2.4,2.88,1.61,0.79,3.53,2.16,3.41,1.37,0.74,1.78,0.61,0.48,1.19,3.17,2.28,1.61,1.7,3.05,2.38,1.81,1.35,0.9,2.68,1.61,1.58,3.33,1.49,1.99,2.09,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,1.45,1.33,0.35,1.29,2.18,2.94,2.57,2.84,0.74,2.85,1.03,1.76,2.05,2.74,1.01,1.86,1.17,3.45,2.26,0.65,3.52,3.29,1.74,1.08,4.55,1.18,2.78,2.36,0.76,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,0.87,6.44,0.52,4.89,2.76,2.97,3.69,3.3,3.98,3.34,2.3,2.2,0.56,1.11,2.88,1.41,1.29,1.65,3.46,3.59,0.64,0.4,2.61,3.2,4.07,3.48,0.35,3.75,1.03,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,1.38,2.84,2.22,3.42,2.49,1.7,3.78,2.81,2.47,2.37,3.4,1.42,2.98,1.79,2,4.21,1.62,1.97,3.61,2.41,2.8,0.76,2.09,2.17,2.43,1.83,1.16,8.6,1.18,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,4.24,1.22,2.25,1.13,2.42,0.48,1.08,3.23,0.87,1.34,0.56,4.07,5.04,0.26,4.03,0.71,1.13,1.09,3.64,1.89,3.98,0.86,0.93,1.57,1.54,1.23,2.39,1.92,1.31,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,4.77,4.62,2.42,0.55,2.91,1.38,4.26,5.93,2.01,2.75,2.47,4.03,0.88,2.58,2.03,1.99,1.93,1.61,5.04,1.42,2.09,3.76,2.28,1.32,3.5,1.58,1.72,1.84,3.4,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
