"GORLESTON (COASTGUARD STATION)",,,,,,,,,,,,
Grid ref,TG534037,Long,1.738153,Lat,52.572037,,,,,,,
Station no,1412,,,,,,,,,,,
,MISFILED,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,1.74,,,,,,,,,,,
February,1.82,,,,,,,,,,,
March,2.37,,,,,,,,,,,
April,0.82,,,,,,,,,,,
May,2.19,,,,,,,,,,,
June,0.52,,,,,,,,,,,
July,1.60,,,,,,,,,,,
August,4.19,,,,,,,,,,,
September,0.35,,,,,,,,,,,
October,3.19,,,,,,,,,,,
November,2.64,,,,,,,,,,,
December,1.24,,,,,,,,,,,
Total,22.67,,,,,,,,,,,
Calc annual,22.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
