AMBLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NU266047,Long,-1.582222,Lat,55.335633,Elevation,12,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3590/4/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,2.57,2.29,4.43,1.99,2.83,3.84,,,4.36,0.96,2.29,8.07,0.75,1.43,2.4,1.61,0.85,2.66,2.19,4.1,2.19,2.49,2.34,4.02
February,,,,,,,2.74,0.67,0.97,1.71,5.62,,,,1.38,0.28,2.69,1.27,0.73,3.56,2.79,0.59,1.35,2.3,2.29,1.78,2.36,3.41,0.26,2.24
March,,,,,,,3.43,0.44,2.22,2.44,2.77,1.03,,,0.39,1.05,3.52,0.26,1.24,0.74,4.08,2.42,0.39,1.36,1.77,0.65,1.86,2.9,0.65,1.69
April,,,,,,,1.69,0.13,,0.8,0.8,1.35,,,1.01,0.54,3.84,1.13,0.5,2.21,2.09,1.13,2.55,0.42,0.57,1.01,0.38,2.19,1.93,0.6
May,,,,,,,2.66,2.38,,0.76,1.21,1.3,,,3.35,1.61,1.46,1.07,0.65,1.95,3.17,1.94,2.19,2.52,1.4,0.46,2,2.01,0.45,1.76
June,,,,,,,1.38,2.15,2.21,0.53,0.45,0.77,,,1.69,1.41,,2.1,1,1.44,1.43,1.92,2.31,1.7,1.32,1.9,1.51,2.02,1.94,0.65
July,,,,,,,1.9,2.01,1.95,6.21,2.04,2.64,,,2.06,2.35,,0.73,1.48,3.5,1.93,3.12,1.8,2.39,1.17,2.8,2.68,3.31,2.15,4.17
August,,,,,,,2.1,2.11,2.55,1.13,3.29,2.05,,,2.06,3.84,,6.28,1.98,3.56,3.33,2.64,3,4.78,0.98,7.04,4.16,1.35,0.26,3.13
September,,,,,,,1.33,2.11,1.27,2.01,0.54,2.84,,,1.49,3.01,0.45,2.71,0.5,3.41,0.67,3.39,1.95,2.69,0.67,2.61,2.27,2.64,1.28,1.66
October,,,,,,,2.23,2.93,3.78,2.37,3.91,,,,2.76,0.96,0.48,1.85,5.24,0.87,0.82,4,1.49,3.39,1.89,1.67,1.78,1.27,1.65,5.65
November,,,,,,,1.22,1.99,1.8,3.14,2.75,0.58,,,0.63,3.82,1.92,1.45,2.74,6.53,7.63,3.75,1.41,3.23,1.64,1.41,1.16,0.59,4.71,3.66
December,,,,,,,5.88,3.42,1.14,2.48,0.32,,,,1.8,2.33,1.93,2.03,2.05,2.74,1.45,3.37,0.88,1.55,3.24,2.13,1.83,4.22,3.54,1.62
Total,,,,,,,29.13,22.63,,25.57,26.53,,,,22.98,22.16,,28.95,18.86,31.94,31.79,29.88,20.17,28.99,19.13,27.56,24.18,28.4,21.16,30.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1939 Apr .9, May .78 and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1942 Feb 1.56, Oct 2.08, Dec 1.72 and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1947 June 1.5, July 4.3, Aug .1 and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665,AMBLE ,1937-1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,
