"ORFORD (SUDBOURNE PARK)",,,,,,,,,,,,
Grid ref,TM407511,Long,1.513477,Lat,52.105816,,,,,,,
Station no,1358/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.27,3.10,0.98,1.83,2.23,3.78,1.43,2.50,2.31,4.11,,
February,3.93,0.87,1.32,2.44,2.29,1.89,2.55,3.10,0.16,1.33,,
March,3.10,3.53,0.25,2.71,1.69,0.64,1.29,1.43,1.16,1.99,,
April,2.70,0.50,1.88,0.30,0.22,0.92,0.30,1.44,1.72,1.00,,
May,1.86,1.22,1.50,1.43,2.91,0.77,1.81,3.03,0.31,0.97,,
June,1.43,1.36,1.03,1.82,3.06,2.08,1.91,4.35,0.73,2.26,,
July,2.67,0.25,2.76,2.25,0.32,1.70,3.83,2.43,1.68,3.16,,
August,3.58,3.38,1.67,4.66,4.17,3.77,2.12,5.06,2.02,3.99,,
September,3.63,4.52,1.71,1.49,1.87,1.82,2.78,2.52,0.05,2.59,,
October,0.49,2.03,2.10,1.40,5.28,1.81,1.71,2.27,2.22,7.89,,
November,3.12,5.47,1.03,4.07,0.69,1.00,2.02,1.25,2.92,3.51,,
December,1.99,2.58,0.89,2.11,1.69,2.42,1.83,3.46,3.17,3.53,,
Total,30.77,28.81,17.12,26.51,26.42,22.60,23.58,32.84,18.45,36.33,,
Calc annual,30.77,28.81,17.12,26.51,26.42,22.60,23.58,32.84,18.45,36.33,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
