BRAUNTON-STYLE-CLOSE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS497364,Long,-4.1482,Lat,51.10757,Elevation,145,ft,,,,,,,,,,,,,
Station no,1847,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,2.75,4.72,2.64,4.75,5.34,5.87,1.71,5.24,3.25,3.52,2.61,3.62,1.26,3.76,4.96,5.01,5.8,
February,,,,7.47,0.47,5.25,2.5,3.22,3.1,1.6,1.47,3.11,0.08,2.85,0.42,3.75,2.06,6.2,1.25,1.71,
March,,,,1.37,1.64,1.1,0.54,3.29,2.79,0.56,2.39,1.97,2.37,2.53,2.35,1.04,2,3.41,0.5,1.45,
April,,,,2.19,2.93,2.75,1.49,1.98,1.79,0.95,2.4,2.62,2.1,1.92,2.35,4.07,2.42,2.8,0.16,2.23,
May,,,,2.34,2.49,3.93,1.4,0.97,0.64,3.26,2.18,3.02,3.26,2.06,1.46,2.66,0.69,1.72,2.19,1.19,
June,,,,1.05,2.07,0.04,1.67,2.12,2.94,2.67,0.33,5.02,0.59,1.23,1.55,3.65,2,0.97,2,1.56,
July,,,,3.73,4.69,3.54,3.6,3.3,1.97,2.53,2.36,4.69,4.29,2.36,0.33,1.03,7.91,3.31,2.63,5.5,
August,,,,1.99,4.38,4.28,2.53,4.23,3.32,2.44,3.89,4.47,1.05,1.27,3.83,3.26,0.74,0.97,7.24,3.29,
September,,,,3.48,4.37,3.93,2.16,7.89,2.19,0.71,4.74,2.03,4.24,1.27,3.58,4.17,2.94,4.78,1.27,0.62,
October,,,,5.99,4.96,4.26,3.05,1.8,6.57,5.67,5.56,0.94,9.04,5.09,4.3,6.54,2.7,3.03,6.06,3.17,
November,,,,4.3,2.77,3.21,7.05,3.77,3.89,7.82,3.83,5.57,2.79,1.14,3.36,5.1,4.45,1.99,6.11,7.58,
December,,,,4.53,4.47,4.05,0.8,2.93,5.94,6.53,5.55,2.19,2.41,1.95,7.57,4.44,3.8,3.79,3.84,2.8,
Total,,,,41.19,39.96,38.98,31.54,40.84,41.01,36.45,39.94,38.88,35.74,26.28,34.72,40.97,35.47,37.93,38.26,36.9,
,,,,,,,,,,,,,,,,,,,,,
1923 May 11 Gauge moved 0.25 miles E,,,,,,,,,,,,,,,,,,,,,
Style Close Higher Park Road Braunton,,,,,,,,,,,,,,,,,,,,,
1932 Nov 1 Gauge moved 120 yds E,,,,,,,,,,,,,,,,,,,,,
1940 Nov Observer died,,,,,,,,,,,,,,,,,,,,,
