COCKTHORPE-OLD-HOUSE,,,,,,,,,,
Grid ref,TF983422,Long,0.949604,Lat,52.940544,Elevation,120,ft,,
Station no,1448/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.51,1.39,1.86,1.95,2.74,1.27,1.87,3.4,3.22
February,,1.14,1.53,,2.33,1.27,2.22,2.9,0.19,1.91
March,,2.34,0.84,2.16,1.73,0.68,1.81,0.66,0.6,1.02
April,,1.57,2.22,0.26,0.88,1.03,0.39,1.15,1.29,0.75
May,,1.27,1.38,1.58,2.81,0.44,1.07,2.53,0.85,0.39
June,,0.67,2.78,,1.81,2.02,1.68,1.98,1.47,0.96
July,,1.27,1.8,2.63,0.55,3.43,1.67,5.82,3.54,2.47
August,,1.97,2.12,4.02,0.9,2.85,1.88,1.91,3,3.88
September,,3.24,1.12,2.02,1.7,1.55,4.8,2.34,0.28,3.26
October,,2.12,2.07,2.32,2.47,2.04,1.53,1.96,2.06,
November,,4.27,1.31,3.73,0.93,1.39,1.62,1.09,2.43,
December,,2.4,1.18,1.84,1.32,0.86,2.34,2.76,4.08,
Total,,24.77,19.74,,19.38,20.3,22.28,26.97,23.19,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1954 Feb Jun estimated,,,,,,,,,,
1960 Oct Nov Dec estimated,,,,,,,,,,
