MILFORD-ON-SEA-MILFORD-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ291920,Long,-1.58906,Lat,50.72743,Elevation,40,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,0.98,0.7,2.61,1.11,4.26,5.11,0.54,3.61,1.38,1.17,3.17,4.77,3.55,3.35,5.43,1.46,3.15,4.91,,,,,
February,,,,,,,,,1.07,1.4,2.96,1.12,2.63,1.51,3.82,5.25,5.25,1.04,1.03,3.16,0.43,0.08,2.42,4.87,0.48,4.34,,,,,
March,,,,,,,,,2.5,3.86,1.18,2.62,3.64,3.09,5.12,0.88,3.84,2.97,1.08,3.54,2.09,1.12,2.69,1.36,1.76,0.36,,,,,
April,,,,,,,,,2.43,1.35,1.93,1.41,0.13,2.74,1.12,1.14,0.65,2.79,1.75,1.53,2.93,1.13,2.98,2.87,2.7,2.82,,,,,
May,,,,,,,,,1.41,1.84,1.55,1.1,1.21,2.64,0.85,3.51,2.07,1.61,1.26,0.49,1.29,1.26,0.68,2.6,3.94,3.98,,,,,
June,,,,,,,,,0.64,3.04,3.63,1.77,3.74,0.72,0.73,0.72,1.97,1.58,1.54,0.89,2.2,0.24,1.05,0.43,1.91,0.01,,,,,
July,,,,,,,,,1.46,2.55,3.24,0.19,1.78,0.88,3.57,3.21,0.79,3.3,3.44,1.97,5.88,0.63,3.52,1.19,3.35,3.36,,,,,
August,,,,,,,,,2.73,2.32,1.69,0.71,6.09,1.48,2.44,1.23,2.82,4.55,2.08,3.01,1.04,2.19,3.13,1.34,2.62,4.09,,,,,
September,,,,,,,,,2.03,3.78,0.19,1.36,2,3.97,1.29,3.42,2,1.37,5.5,1.29,2.03,0.8,1.19,2.65,4.87,2.5,,,,,
October,,,,,,,,,1.38,8.69,4.83,4.69,3.79,4.51,3,5,4.31,4.14,1.99,0.89,2.58,0.9,1.4,5.68,5.81,3.52,,,,,
November,,,,,,,,,0.97,0.61,4.03,4.53,1.74,3.21,5.37,2.63,3.64,0.83,2.51,2.29,1.28,1.98,1.64,1.45,2.58,2.81,,,,,
December,,,,,,,,,3.57,3.91,4.23,7.64,3.73,1.97,9.08,7.85,4.44,1.06,2.93,5.21,2.68,1.47,4.45,3.14,5.2,3.59,,,,,
Total,,,,,,,,,21.17,34.05,32.07,28.25,34.74,31.83,36.93,38.45,33.16,26.41,28.28,29.04,27.98,15.15,30.58,29.04,38.37,36.29,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922 July 28 Inspection Indifferent gauge but good exposure on level lawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
