DUNFORD-BRIDGE-END-SPRINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE130022,Long,-1.8054177,Lat,53.516318,Elevation,1450,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,3162/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,8.65,9.85,,-999,5.75,8.65,12.25,8,8.55,6.1,16.1,5.6,5.35,8.1,8.5,3.95,5.35,5.65,6.5,5.7,7.05,6.55,8.25
February,,,,,,,,4.05,6.5,,-999,2.4,5.85,4.5,8.3,11.2,-999,5.55,4.3,10.1,6.45,3.4,,6.85,-999,3.2,5.35,10,0.75,3.95
March,,,,,,,,2.8,4.8,5.15,7.1,5,3.05,1.4,2,2.95,-999,2.6,3.15,3.15,8.15,3.75,3.95,4.35,-999,3.35,5.35,4.3,3,2.75
April,,,,,,,,1.05,3.7,4.9,4.3,2.95,4.25,4,3.4,2.35,5.75,2.95,6.7,5.45,4.05,3.65,4.35,1.35,3.05,3.35,0.6,2.5,6.25,4.25
May,,,,,,,,4.9,2.4,0.85,4.35,4.25,3.55,4.45,4.45,2.65,4.05,2.55,2.85,3.2,4.05,2.7,2.9,4.85,5.65,2,1.7,4.9,1.75,2.7
June,,,,,,,,5.75,3.6,0.95,2.3,1.25,5.1,3.65,5.25,5.05,3.8,6.55,1.15,2.5,1.2,3.75,4.7,3.75,4.3,4.1,2,6.05,2.05,2.7
July,,,,,,,,5.8,9.3,5.95,2.3,7.15,2.95,3.9,2.25,6.3,2.9,2.55,3.3,3.7,4.5,2.95,8.55,8.9,1.45,10.3,6.15,5.65,5.25,8.9
August,,,,,,,,4.35,2.4,3.05,9.15,6.6,10.25,5.9,4.05,-999,0.25,6.2,4.1,5.1,7.5,4.55,5.95,8.4,1.35,13.35,8.75,4.75,1.05,6.1
September,,,,,,,,3,2.8,6.25,1,4.55,5.7,6.65,3.65,-999,3,3,2.6,9.8,3.6,7.15,4.2,7.75,3.1,5.75,8.25,5.55,0.35,4.5
October,,,,,,,,14.25,4.1,6.2,7.25,9.9,3.5,6.65,9.55,2.5,1.5,4.1,5.25,4.25,1.25,7.8,3.15,11.55,4.4,4.45,8.25,4.85,6.85,8.65
November,,,,,,,,7.4,11.45,11.15,4.7,2.1,5.45,10.75,1.1,11.35,9.8,3.2,11,9,12.95,4.75,6.35,10.3,3.1,3.6,3.9,1.9,6.85,8
December,,,,,,,,7.05,6.45,7.6,5.3,6.45,3.35,7.05,4.35,5.45,8.2,5.85,13.45,4.3,11.7,6.3,3.65,13.45,8.8,7.9,8.85,6.4,10.8,8.35
Total,,,,,,,,69.05,67.35,,60.95,58.35,61.65,71.15,56.35,72.6,57.45,61.2,63.45,65.9,73.5,59.25,,86.85,50.35,67.85,64.85,63.9,51.5,69.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is End Sprongs. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MIDAS src_id 2730, continues to 1984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
