Rainfall at,CROMARTY
,
Station no,5775,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,2.62,1.99,1.96,2.24,0.89,0.96,1.20,1.53,2.37,0.46,2.26,
February,2.59,0.54,1.70,1.33,0.36,2.58,1.53,0.66,0.94,0.29,0.54,
March,1.36,1.82,1.56,0.41,1.25,1.10,1.95,0.94,1.69,0.16,0.83,
April,1.12,0.41,1.68,2.16,0.40,1.22,1.48,1.39,0.90,1.06,0.96,
May,1.48,2.69,2.10,2.68,2.58,1.88,1.66,1.31,2.45,2.45,1.71,
June,0.58,0.57,0.67,0.49,1.47,0.71,1.76,1.61,2.89,1.21,1.72,
July,2.08,2.35,2.09,1.83,2.42,2.08,0.82,2.05,1.23,1.58,1.50,
August,1.44,1.43,2.52,3.04,2.76,0.62,1.64,1.30,2.73,3.28,5.10,
September,1.81,1.17,1.23,1.66,3.20,1.77,1.99,2.69,2.05,1.09,2.10,
October,0.90,1.55,0.93,2.31,2.23,1.33,3.39,2.24,1.89,4.00,3.28,
November,2.25,1.09,1.18,1.33,1.17,0.61,1.63,1.68,3.57,1.84,4.30,
December,1.13,2.38,1.40,1.41,2.06,1.85,0.96,1.19,1.28,1.83,1.86,
Total,19.36,17.99,19.02,20.89,20.79,16.71,20.01,18.59,23.99,19.25,26.16,
Calc annual,19.36,17.99,19.02,20.89,20.79,16.71,20.01,18.59,23.99,19.25,26.16,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,
