DARLINGTON,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ291144,Long,-1.5519,Lat,54.5243,Elevation,134,ft,,,,,,,,,,,,
Station no,RR505,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1730,1731,1732,1733,1734,1735,1736,1737,1738,1739,1740,1741,1742,1743,1744,1745,1746,1747,1748,1749
January,,,,,,1.65,,0.96,2.44,1.81,0,1.12,0.5,,,,,,,
February,,,,,,2.4,,1.19,0.91,1.37,0.18,1,0.75,,,,,,,
March,,,,,3.25,2.26,0.99,1.33,1.25,2.2,0.5,0.62,0,,,,,,,
April,,,,,1.7,1.18,0.94,1.82,1.9,4.5,1.6,0.37,1.75,,,,,,,
May,,,,,2.1,1.5,0.61,0.74,3,3.37,1.9,1,1,,,,,,,
June,,,,,2.4,2.21,0.75,1.17,1.37,2.62,0.34,1.6,3.12,,,,,,,
July,,,,,1.6,3.11,2.5,1.66,1.75,3.31,1.87,1.37,1.62,,,,,,,
August,,,,,2.4,2.03,2.4,2.64,1.87,1.94,2.28,2.62,0.44,,,,,,,
September,,,,,1.35,1.04,0.94,3.23,2.3,5.28,1.6,3.76,0.75,,,,,,,
October,,,,,2.4,1.98,2.3,3.4,2.81,0.94,1.25,2.75,3.56,,,,,,,
November,,,,,2.3,2.87,1.79,1.16,2,2.94,3.18,1.19,1.5,,,,,,,
December,,,,,1.7,1.84,1.95,2,1.65,2.77,2,,,,,,,,,
Total,,,,,,24.07,,21.3,23.25,33.05,16.7,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR benchmark on St Cuthbert's parish church,,,,,,,,,,,,,,,,,,,,
TYRain_1677-1886_B_pt1-page-053.csv,,,,,,,,,,,,,,,,,,,,
ERROR_TYRain_1677-1886_A_pt1-page-094.csv also  has data for 1736-1739 - added manually to this file,,,,,,,,,,,,,,,,,,,,
1741 and 1742 incomplete years so no totals,,,,,,,,,,,,,,,,,,,,
1740 total added incorrectly on record,,,,,,,,,,,,,,,,,,,,
