"FAIRMILEHEAD (WATER WORKS)",,,,,,,,,,,,
Grid ref,NT249683,Long,-3.202678,Lat,55.901933,,,,,,,
Station no,5134,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.28,2.90,0.38,2.96,2.20,1.56,3.33,1.67,1.03,2.52,,
February,2.36,0.41,0.70,1.73,1.60,2.05,2.76,2.24,0.44,2.23,,
March,3.08,1.20,0.41,1.61,2.04,1.21,1.68,1.96,0.46,1.35,,
April,2.80,1.34,2.38,1.23,0.42,0.67,0.59,1.80,1.75,1.09,,
May,3.58,1.80,2.13,4.74,2.15,0.82,1.69,2.22,0.49,1.47,,
June,1.62,2.60,1.71,2.20,0.83,2.39,1.39,3.74,1.55,1.44,,
July,3.82,2.07,3.77,1.61,1.88,5.27,5.14,6.54,2.41,2.60,,
August,5.74,4.84,2.13,5.91,1.15,6.98,3.22,2.60,0.22,4.28,,
September,0.98,2.06,2.87,3.29,1.33,4.04,1.58,2.69,0.44,1.36,,
October,0.62,1.59,1.51,6.11,1.60,1.83,2.13,1.15,1.41,3.30,,
November,4.86,2.39,3.36,3.15,0.73,0.74,2.21,0.93,4.38,2.80,,
December,2.55,3.18,3.73,2.96,4.82,2.97,1.97,4.41,2.49,2.64,,
Total,35.29,26.38,25.08,37.50,20.75,30.53,27.69,31.95,17.07,27.08,,
Calc annual,35.29,26.38,25.08,37.50,20.75,30.53,27.69,31.95,17.07,27.08,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
