"GLENCARRON, GLENUAIG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH106476,Long,-5.160727,Lat,57.478964,Elevation,1150,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,23.6,15.7,17,16,15,13,,,16.25,16.5,27.4,-999,9.5,7.5,17,19,,,,,,,,,
February,,,,,,,,15.9,15.8,8.3,10.6,19.5,,,13,12,-999,-999,19.5,3,21,13,,,,,,,,,
March,,,,,,,19,16.4,10.5,4.8,9.9,6.5,,,6,9.5,-999,-999,5.5,7.7,15,18.5,,,,,,,,,
April,,,,,,,11.7,7.1,6.4,6,13.2,11,,,14.25,13.5,10,-999,3.5,14,9.5,-999,,,,,,,,,
May,,,,,,,11.3,4.6,6,7.5,9.5,5.25,,,-999,3.2,7,4,3.5,1.5,11,-999,,,,,,,,,
June,,,,,,,3.2,11.1,7.4,2.5,5.7,6.5,,,-999,1,8.25,6,8.5,11,3.5,-999,,,,,,,,,
July,,,,,,,11.4,6.1,5.3,10.2,4.75,9,,,6.75,7.5,6.25,3.75,8,5,11,-999,,,,,,,,,
August,,,,,,,9.9,12.1,10.4,9.6,7.25,6,,,8,6.5,6.75,12.5,-999,11,-999,10,,,,,,,,,
September,,,,,,,7.5,7.5,13.8,4.9,4,13.5,,,10,5.5,5.5,15.5,-999,15,-999,9,,,,,,,,,
October,,,,,,11.57,12.2,5.9,3,13.8,6.5,5,,,2.5,6,23,18,24,9,3,13,,,,,,,,,
November,,,,,,9.5,20.9,10.1,14.5,14.4,6.5,15.5,,,20.5,5,16,29,7,9,10,9.5,,,,,,,,,
December,,,,,,13.9,22.3,10.9,13.6,9,13.2,15.8,,,14.5,8.1,16.25,5.5,12.75,10.5,8,24,,,,,,,,,
Total,,,,,,,,123.4,123.7,107,106.1,126.55,124.5,124.6,122.75,94.3,140.4,122,127.25,104.2,123,138.5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906 Feb +T deleted est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909 Dec+T deleted est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913 Figures deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914 May June bracketed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1916 Feb Mar bracketed to give Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918 Aug Sep Bracketed to give Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920/1 Bracketed to give Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Very remote Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
