"DOWNHAM (DIAL HOUSE)",,,,,,,,,,,,
Grid ref,TF607031,Long,0.371471,Lat,52.601923,,,,,,,
Station no,1462,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.59,2.04,1.16,1.69,2.06,4.07,1.47,2.22,3.15,2.95,,
February,2.42,0.88,1.54,2.33,2.84,1.21,2.13,3.18,0.12,1.46,,
March,3.62,2.88,1.06,2.36,1.90,0.63,1.85,0.97,1.67,1.25,,
April,3.03,1.60,2.18,0.27,0.84,0.90,0.16,0.86,1.15,0.55,,
May,2.64,2.42,1.79,2.60,2.58,0.94,0.88,3.05,0.71,0.59,,
June,1.25,1.12,4.64,2.54,2.37,2.32,1.46,3.35,0.69,1.78,,
July,0.64,0.70,2.64,3.09,0.23,2.92,2.56,3.12,2.44,2.74,,
August,3.61,2.59,2.51,4.88,0.73,4.07,1.55,2.80,1.61,3.53,,
September,2.32,3.02,1.18,2.47,1.56,1.26,3.83,2.93,0.03,2.14,,
October,1.40,2.08,2.55,2.43,2.43,1.98,1.34,1.85,1.63,5.02,,
November,3.29,3.01,1.41,4.08,1.16,0.88,1.02,1.31,1.37,3.41,,
December,1.34,1.83,1.03,2.14,1.46,1.73,1.97,2.86,3.77,2.99,,
Total,28.15,24.17,23.69,30.88,20.16,22.91,20.22,28.50,18.34,28.41,,
Calc annual,28.15,24.17,23.69,30.88,20.16,22.91,20.22,28.50,18.34,28.41,,
Difference,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
