Rainfall at,SCONE PALACE
,
Station no,5572,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,3.57,3.52,4.14,2.04,2.58,2.97,4.76,2.90,6.20,1.04,2.40,
February,2.91,0.45,3.26,5.32,1.13,3.44,4.84,1.44,2.35,1.91,1.73,
March,2.36,2.49,1.93,1.02,0.74,1.62,1.40,2.38,5.02,0.45,1.98,
April,2.21,0.83,2.42,3.35,1.82,3.14,1.91,1.01,0.77,1.05,1.19,
May,3.44,2.07,1.23,1.03,5.87,3.96,2.24,2.45,1.65,2.88,1.18,
June,0.92,0.44,1.77,0.82,2.16,0.39,3.12,3.16,3.73,1.49,1.90,
July,2.71,2.34,3.57,2.54,5.10,1.94,2.60,3.53,0.86,3.74,2.99,
August,3.81,5.55,1.43,4.79,3.84,2.54,1.97,5.07,4.70,3.37,4.98,
September,1.68,1.70,1.44,2.85,3.95,3.52,3.07,4.43,2.94,0.45,5.75,
October,1.99,3.45,1.86,2.78,3.72,2.63,5.21,5.22,3.82,3.65,2.84,
November,2.45,2.23,2.04,2.27,1.99,0.95,6.42,2.75,3.22,3.50,4.04,
December,3.80,2.60,2.49,2.46,4.12,3.64,0.33,1.92,3.33,4.78,4.02,
Total,31.85,27.67,27.58,31.27,37.02,30.74,37.87,36.26,38.59,28.31,35.00,
Calc annual,31.85,27.67,27.58,31.27,37.02,30.74,37.87,36.26,38.59,28.31,35.00,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,
