SCONE PALACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO113265,Long,-3.439544,Lat,56.422348,Elevation,90,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,
January,,,,4.97,6.08,0.33,2.02,1.54,1.05,3.13,2.9,2,5.65,3.93,2.52,1.67,3.68,4.03,4.63,4.17,2.05,2.31,4.1,3.88,2.5,4.97,1.37,4.35,1.22,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.43,1.65,1.88,0.36,3.11,4.76,2.09,2.34,3.08,1.47,2.87,3.27,3.57,3.52,4.14,2.04,2.58,2.97,4.76,2.9,6.2,1.04,2.4,3.42,2.73,2.08,2.8,,,,,,,,,,,,,,,
February,,,,1.27,0.51,3.12,2.05,0.38,0.95,2.76,1,2.32,1.58,1,2.94,1.66,3.08,1.7,2.68,1.95,2.8,3.95,5.64,1,0.7,1,3.21,1.85,0.83,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,0.83,0.73,1.91,1.46,2.59,1.34,3.76,5.27,3.83,0.8,2.88,1.61,2.91,0.45,3.26,5.32,1.13,3.44,4.84,1.44,2.35,1.91,1.73,1.45,0.19,3.57,0.2,,,,,,,,,,,,,,,
March,,,,1.16,1.05,1.95,0.11,2.22,0.95,1.97,2.88,2.63,3.13,1.17,2.56,1.08,0.68,1.76,2.8,0.94,0.56,1.5,2.61,1.2,1.6,1.67,2.41,1.55,0.25,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,2.89,2.95,1.31,0.88,2.6,5.58,4.16,1.7,3.19,2.41,1.09,2.31,2.36,2.49,1.93,1.02,0.74,1.62,1.4,2.38,5.02,0.45,1.98,1.3,2.71,1.49,4.12,,,,,,,,,,,,,,,
April,,,,0.61,0.11,0.69,1.78,2.46,1.5,2.35,0.22,0.36,2.11,1.63,0.91,0.53,0.93,1.76,2.54,1.59,0.24,4.28,0.9,0.2,1.14,1.66,3.75,3.1,1.2,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52,0.75,2.87,3.48,0.83,0.2,2.38,0.95,1.31,1.52,1.42,0.9,2.85,2.21,0.83,2.42,3.35,1.82,3.14,1.91,1.01,0.77,1.05,1.19,2.41,2.87,0.85,5,,,,,,,,,,,,,,,
May,,,,5.03,2.77,0.79,3.32,2.2,2.17,0.08,0.98,1.6,3.39,1.35,1.59,2.14,0.95,3.5,1.99,0.6,1.45,0.83,3.38,2.88,1.51,1,0.38,3.1,3.2,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63,1.38,3.17,1.17,0.87,1.34,3.88,1.93,1.31,3.96,2.42,3.62,1.18,3.44,2.07,1.23,1.03,5.87,3.96,2.24,2.45,1.65,2.88,1.18,3.13,2.96,1.58,1.79,,,,,,,,,,,,,,,
June,,,,0.53,2.17,1.25,2.66,2.09,1.51,2.29,5.5,2.11,3.76,2.71,1.61,0.35,0.87,0.33,0.45,1.92,0.96,2.22,3.68,1.17,0.61,1.14,2.42,3.1,2.8,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.89,1.62,1.16,1.34,1.25,3.02,2.22,0.35,2,2.43,1.76,0.41,1.44,0.92,0.44,1.77,0.82,2.16,0.39,3.12,3.16,3.73,1.49,1.9,4.6,1.23,1.51,1.75,,,,,,,,,,,,,,,
July,,,,3.86,2.47,2.07,1.6,1.35,5.65,1.41,2.67,3.55,2.6,0.72,2.35,5.19,3.37,7.05,0.61,1.15,1.2,4.1,3,3.25,2.32,1.92,1.13,4.2,0.48,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,2.08,3.13,4.99,1.62,2.05,0.65,3.28,3.84,7.05,1.22,5.29,0.79,2.71,2.34,3.57,2.54,5.1,1.94,2.6,3.53,0.86,3.74,2.99,4.06,3.42,2.95,4.22,,,,,,,,,,,,,,,
August,,,,3.19,0.77,3.1,4.64,1.81,2.5,1.37,1.32,4.9,2.75,4.47,0.74,3.94,3.33,2.95,4.85,1.05,1.04,2.07,4.6,1.65,6.25,2.39,2.33,6.3,1.25,4.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,2.56,1.67,6.08,1.52,4.08,1.05,2.15,6.41,2.95,5.22,3.81,1.67,3.81,5.55,1.43,4.79,3.84,2.54,1.97,5.07,4.7,3.37,4.98,2.34,0.95,0.76,3.66,,,,,,,,,,,,,,,
September,,,,3.2,0.79,0.23,4.93,3.23,2.44,2.85,0.8,4.48,1.47,3.35,2.96,0.65,4.6,1.35,3.33,4.6,2.12,1.85,5.4,3.52,1.97,3.43,2.53,2.3,0,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,3.38,1.57,0.67,1.15,2.51,1.99,0.77,1.76,1.09,1.15,3.83,1.14,1.68,1.7,1.44,2.85,3.95,3.52,3.07,4.43,2.94,0.45,5.75,1.33,1.83,1.41,3.14,,,,,,,,,,,,,,,
October,,,,4.93,2.54,2.53,1.88,1.73,2.9,2.51,2,2.12,3.67,2.59,4.01,5.82,1.82,1.68,1.35,3,3.3,3.56,3.25,3.4,2.45,5.67,4.25,4.1,1.9,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.09,1.91,3.66,2.05,1.65,3.7,1.76,2.72,3.57,5.37,2.96,3.28,0.92,1.99,3.45,1.86,2.78,3.72,2.63,5.21,5.22,3.82,3.65,2.84,0.98,6.6,3.64,3.36,,,,,,,,,,,,,,,
November,,,3.87,1.72,4.51,1,0.18,2.1,1.47,2.26,3.23,3.5,1.45,1.62,3.18,2.7,1.9,0.43,1.92,0.95,1.42,2.16,4.9,1.4,4.15,5.6,4.3,9.05,1.35,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42,1.64,0.48,2.84,2.62,1.73,2.31,4.49,2.27,5.01,3.19,1.76,5.31,2.45,2.23,2.04,2.27,1.99,0.95,6.42,2.75,3.22,3.5,4.04,5.23,1.29,2.55,0.56,,,,,,,,,,,,,,,
December,,,7.87,4.59,2.1,1.62,1.34,1.45,5.09,2.85,5.25,1.55,2.9,2.39,3.33,3.06,4.02,0.62,4.81,2.8,4.25,0.84,6.2,1.6,1.1,2.46,8.5,1.9,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46,1.06,2.8,2.45,3.69,4.69,1.17,7.64,6.23,3.7,1.46,1.77,4.49,3.8,2.6,2.49,2.46,4.12,3.64,0.33,1.92,3.33,4.78,4.02,1.35,4.65,1.13,4.6,,,,,,,,,,,,,,,
Total,,,,35.06,25.87,18.68,26.51,22.56,28.18,25.83,28.75,31.12,34.46,26.93,28.7,28.79,29.23,27.16,31.96,24.72,21.39,29.67,47.66,25.15,26.3,32.91,36.58,44.9,14.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.89,21.53,25.84,30.17,17.9,31.62,29.09,34.29,38.01,43.18,25.48,31.51,26.98,31.85,27.67,27.58,31.27,37.02,30.74,37.87,36.26,38.59,28.31,35,31.6,31.43,23.52,35.2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1863 Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
