MORPETH BOTHALHAUGH Lawn DAILY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ241863,Long,-1.623198,Lat,55.170427,Elevation,135,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,1.12,,2.04,3.25,,3.6,1.12,2.14,0.99,2.25,0.91,0.98,1.44,1.24,4.45,1.17,1.88,0.86,2.12,3.4,1.48,0.89,3,1.76,0.38,2.25,0.7,1.49,1.51,2.5,1.81,3.22,3.7,2.1,2.33,1.17,2.85,2.76,3.52,2.53,3.78,2.76,,,,,,,,
February,,3.59,,1.5,1.11,,1.18,0.36,1.03,0.95,1.27,0.07,2.16,3.07,2.79,0.85,0.63,1.33,0.95,1.4,4.09,1.44,1.29,1.19,2.04,0.8,1.07,1.26,1.48,1.74,2.66,0.78,2.76,0.51,1.37,2.68,2.27,0.99,1.42,1.7,1.34,0.24,2.38,,,,,,,,
March,,2.84,,1.58,2.19,,1.8,1.74,3.32,3.16,2.01,3.23,1.44,0.45,1.03,2.99,2.61,3.38,1.27,1.77,2.06,1.68,0.94,0.98,1.35,1.68,1.09,1.01,2.81,4.57,0.71,2.22,1.73,2.43,2.48,2.27,3.11,2.4,1.17,2.24,2.77,0.71,1.85,,,,,,,,
April,,1.08,,1.33,1.67,,1.59,0.89,1.78,2.92,0.56,1.47,0.82,0.44,1.25,1.26,0.8,1.54,2.63,3.05,1.28,0.76,1.28,1.48,1.27,2.87,0.66,1.48,2.49,2.97,1.97,1.48,0.1,2.75,0.53,0.73,1.4,2.1,1.23,1.35,3,0.85,1.52,,,,,,,,
May,,1.56,,1.77,1.39,,2.85,2.06,0.63,1.71,1.93,1.95,3.31,1,2.38,0.55,0.83,1.16,2.32,3.35,1.4,3.25,2.91,1.91,2.92,1.22,4.99,3.92,1.91,2.08,2.71,0.97,2.73,2.38,1.44,1.82,2.63,2.26,3.03,0.64,3.62,1.65,0.61,,,,,,,,
June,,1.54,,2.53,0.61,,1.42,0.33,2.46,0.31,2.9,0.63,3.06,0.85,3.11,2.5,2.02,2.9,1.98,2.31,4.04,1.38,2.31,2.42,2.18,0.47,1.55,3.03,0.53,1.87,1.46,4.82,5.12,1.63,3.43,0.54,2.17,1.12,0.63,0.69,0.84,0.59,1.43,,,,,,,,
July,,3.05,,5.32,4.31,,3.23,1.79,4.55,2.44,1.15,3.35,1.9,3.03,2.19,5.27,2.73,1.26,0.92,2.63,2.1,2.6,2.27,3.85,1.03,1.4,1.95,1.21,2.4,2.81,2.85,0.7,2.81,0.76,2.58,3.53,3.17,1,2.8,1.34,3.83,2.02,4.08,,,,,,,,
August,,4.5,,2.63,0.7,,1.51,1.7,2.49,4.36,5.99,4.66,4.2,2.09,2.84,3.15,1.84,2.71,2.06,1.54,4.97,3.46,1.83,2.92,3.13,2.89,3.75,2.61,2.3,3,3.31,2.65,4.5,1.15,2.23,3.35,2.1,6.69,1.49,2.04,1.9,6.28,2.1,,,,,,,,
September,,4.17,,3.32,1.74,,2.06,4.48,1.22,1.56,2.09,2.11,2.68,2,0.57,0.64,2.59,2.86,0.3,3.01,0.84,0.94,0.86,2.3,1.2,1.24,0.54,0.43,2.14,1.86,1.05,2.55,1.88,3.4,1.36,1.82,1.53,2.05,5.01,1.28,1.5,1.21,4.04,,,,,,,,
October,,2.93,,1.63,1.38,,3.79,2.01,0.86,4.25,1.55,2.16,4.14,0.95,4.68,4.78,6.47,1.76,4.46,1.47,6.11,1.81,2.22,9.31,0.46,2.93,5.17,5.1,1.66,2.48,2.89,2.85,4.12,1.54,2.03,1.84,2.89,2.07,2.27,4.25,1.89,2.86,1.77,,,,,,,,
November,,1.63,,1.57,1.64,,3.54,2.4,4.72,0.59,3.59,2.95,1.61,2.93,0.85,1.7,1.74,2.2,3.08,1.68,3.36,4.54,1.09,2.6,3.97,4.98,2.5,1.78,1.64,1.08,3.18,2.78,1.74,1.51,3.15,1.56,3.2,1.02,0.95,3.94,1.07,2.42,1.02,,,,,,,,
December,,1.99,,2.19,2.2,,3.48,3.59,0.84,1.19,1.42,2.92,1.06,0.93,1.76,1.98,5.35,2.33,1.61,3.5,1.88,3.6,3.72,2.43,2.08,0.44,2.9,3.16,1.87,3.78,1.98,2.9,1.96,1.18,3.4,5.55,4.21,2.65,2.42,2.88,4.4,1.47,3.2,,,,,,,,
Total,,30,,27.41,22.19,,30.05,22.47,26.04,24.43,26.71,26.41,27.36,19.18,24.69,30.12,28.78,25.31,22.44,27.83,35.53,26.94,21.61,34.39,23.39,21.3,28.42,25.69,22.72,29.75,27.27,26.51,32.67,22.94,26.1,28.02,29.85,27.2,25.18,25.87,28.69,24.08,26.76,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_11_pt4-page-053.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_18_pt1-page-131.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_23_pt1-page-030.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_21_pt1-page-212.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_24_pt1-page-177.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
