"MORPETH BOTHALHAUGH GARDEN",,,,,,,,,,,,
Grid ref,NZ241864,Long,-1.623189,Lat,55.171325,,,,,,,
Station no,RR1243,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.94,1.77,0.86,3.13,1.77,0.39,2.28,0.74,1.57,1.51,,
February,4.88,1.46,1.30,1.18,2.04,0.84,1.09,1.36,1.57,1.71,,
March,2.17,1.86,0.97,1.05,1.39,1.75,1.12,1.03,2.90,4.74,,
April,1.42,0.84,1.33,1.67,1.29,2.98,0.67,1.53,2.47,2.96,,
May,1.67,3.40,2.97,1.95,2.90,1.24,5.25,4.04,1.92,2.08,,
June,4.71,1.44,2.46,2.55,2.17,0.48,1.58,3.06,0.52,1.90,,
July,2.42,2.65,2.37,4.10,1.02,1.40,1.97,1.21,2.35,2.84,,
August,6.00,4.01,1.94,3.08,3.12,2.91,3.79,2.63,2.36,3.01,,
September,0.95,1.04,0.95,2.40,1.18,1.26,0.55,0.48,2.17,1.88,,
October,6.87,1.88,2.31,9.52,0.46,2.97,5.39,5.40,1.65,2.50,,
November,3.68,4.93,1.16,2.64,3.97,5.09,2.57,1.86,1.70,1.06,,
December,1.97,3.69,3.88,2.51,2.14,0.46,2.95,3.38,1.76,3.71,,
Total,40.68,28.97,22.50,35.78,23.45,21.77,29.21,26.72,22.94,29.90,,
Calc annual,40.68,28.97,22.50,35.78,23.45,21.77,29.21,26.72,22.94,29.90,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
