"MORPETH BOTHALHAUGH LAWN",,,,,,,,,,,,
Grid ref,NZ241863,Long,-1.623198,Lat,55.170427,,,,,,,
Station no,RR1243,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.40,1.48,0.89,3.00,1.76,0.38,2.25,0.70,1.49,1.51,,
February,4.09,1.44,1.29,1.19,2.04,0.80,1.07,1.26,1.48,1.74,,
March,2.06,1.68,0.94,0.98,1.35,1.68,1.09,1.01,2.81,4.57,,
April,1.28,0.76,1.28,1.48,1.27,2.87,0.66,1.48,2.49,2.97,,
May,1.40,3.25,2.91,1.91,2.92,1.22,4.99,3.92,1.91,2.08,,
June,4.04,1.38,2.31,2.42,2.18,0.47,1.55,3.03,0.53,1.87,,
July,2.10,2.60,2.27,3.85,1.03,1.40,1.95,1.21,2.40,2.81,,
August,4.97,3.46,1.83,2.92,3.13,2.89,3.75,2.61,2.30,3.00,,
September,0.84,0.94,0.86,2.30,1.20,1.24,0.54,0.43,2.14,1.86,,
October,6.11,1.81,2.22,9.31,0.46,2.93,5.17,5.10,1.66,2.48,,
November,3.36,4.54,1.09,2.60,3.97,4.98,2.50,1.78,1.64,1.08,,
December,1.88,3.60,3.72,2.43,2.08,0.44,2.90,3.16,1.87,3.78,,
Total,35.53,26.94,21.61,34.39,23.39,21.30,28.42,25.69,22.72,29.75,,
Calc annual,35.53,26.94,21.61,34.39,23.39,21.30,28.42,25.69,22.72,29.75,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
