"MORPETH, BOTHALHAUGH Garden monthly gauge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ240862,Long,-1.624776,Lat,55.169533,Elevation,35,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,0.32,,,2.08,,,3.53,1.22,1.84,0.99,2.51,1.11,1.16,1.47,1.34,,1.15,,0.82,2.26,4.04,1.95,0.91,3.15,1.78,0.38,2.28,0.71,1.5,1.51,2.34,1.83,3.32,4.19,2.1,2.19,1.17,3.06,2.63,3.57,2.6,3.95,2.68,,,,,,,,
February,1.3,,,1.64,,,1.2,0.37,0.96,0.6,1.35,0.14,2.3,3.1,2.55,0.85,0.62,1.33,1.07,1.3,4.97,1.57,1.35,1.16,2.08,0.81,1.05,1.38,1.5,1.71,2.74,0.74,2.69,0.46,1.43,2.64,2.32,0.96,1.4,1.74,1.29,0.21,2.39,,,,,,,,
March,2.1,,,1.75,,,2.01,1.89,3.6,3.31,2.33,3.44,1.5,0.5,0.87,3.04,2.69,3.34,1.47,1.85,2.34,1.95,0.99,1.09,1.47,1.74,1.1,1.04,2.83,4.74,0.69,2.21,1.69,2.5,2.6,2.14,3.25,2.42,1.16,2.31,2.79,0.66,1.86,,,,,,,,
April,1.5,,,1.24,,,1.73,0.92,1.84,2.7,0.62,1.58,0.82,0.34,1.22,1.16,0.8,1.62,2.76,3.08,1.43,0.88,1.31,1.61,1.24,3.03,0.64,1.53,2.43,3.06,1.86,1.42,0.11,2.82,0.52,0.7,1.49,2.25,1.18,1.39,3.1,0.84,1.5,,,,,,,,
May,1.63,,,1.65,,,2.84,2.2,0.55,1.37,2.22,2.19,3.23,0.89,2.41,0.52,0.83,1.13,2.36,3.24,1.6,3.44,3.06,1.93,2.82,1.2,5.31,4.11,1.79,1.87,2.64,0.94,2.78,2.44,1.48,1.85,2.72,2.28,3.04,0.65,3.69,1.63,0.6,,,,,,,,
June,1.22,,,2.5,,,1.5,0.32,2.52,0.27,3.19,0.8,3.25,0.93,3.01,2.48,2.07,3.15,2.1,2.39,4.53,1.43,2.49,2.52,2.13,0.45,1.58,3.02,0.4,1.71,1.39,5.19,5.37,1.6,3.56,0.51,2.27,1.08,0.61,0.7,0.83,0.58,1.39,,,,,,,,
July,3.96,,,5.39,,,3.19,1.81,4.2,2.7,1.25,3.7,1.93,2.95,2.09,5.32,2.67,1.33,1.07,2.59,2.36,2.69,2.45,4.06,0.95,1.36,2.01,1.22,2.3,2.7,2.61,0.66,3.06,0.79,2.56,3.49,3.29,0.99,2.91,1.36,3.9,1.98,4.06,,,,,,,,
August,1,,,2.57,,,1.45,1.72,2.46,4.4,6.21,5.15,4.25,2.07,2.7,3.1,2.06,2.76,2.09,1.62,5.6,4.06,1.88,3.12,3.21,2.95,3.75,2.69,2.37,2.83,3.22,2.75,4.4,1.17,2.36,3.4,2.08,6.76,1.52,1.96,1.95,6.41,2.1,,,,,,,,
September,4.5,,,3.54,,,2.22,4.86,1.36,1.83,2.35,2.27,2.7,1.94,0.47,0.64,2.6,2.96,0.33,2.92,0.93,0.99,0.9,2.47,1.13,1.3,0.55,0.43,2.14,1.74,1.01,2.53,2.06,3.42,1.41,1.88,1.69,2.06,5.29,1.26,1.46,1.22,4.24,,,,,,,,
October,4.85,,,1.73,,,3.86,2.32,0.92,4.39,1.88,2.38,4.3,0.98,4.82,4.98,6.65,1.74,4.74,1.68,6.88,1.89,2.37,,0.46,3.04,5.4,5.39,1.61,2.45,2.8,2.93,4.26,1.51,2.11,1.89,2.98,2.2,2.41,4.24,1.78,2.99,1.77,,,,,,,,
