"MORPETH BOTHALHAUGH LAWN",,,,,,,,,,,,
Grid ref,NZ241863,Long,-1.623198,Lat,55.170427,,,,,,,
Station no,RR1243,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.57,1.71,0.93,3.10,1.82,0.38,2.32,0.70,1.52,1.49,,
February,4.32,1.59,1.33,1.14,2.12,0.80,1.04,1.34,1.51,1.75,,
March,2.02,1.61,0.99,1.02,1.37,1.70,1.09,1.06,2.74,4.71,,
April,1.34,0.81,1.30,1.40,1.31,3.04,0.66,1.59,2.53,3.14,,
May,1.46,3.30,2.85,1.93,2.94,1.22,5.24,4.10,1.87,2.10,,
June,4.29,1.40,2.27,2.47,2.28,0.46,1.61,3.07,0.49,1.94,,
July,2.20,2.74,2.29,3.79,1.05,1.35,2.05,1.27,2.42,2.97,,
August,5.21,3.52,1.86,2.97,3.31,3.02,3.84,2.73,2.35,3.13,,
September,0.89,1.00,0.87,2.33,1.22,1.29,0.56,0.43,2.09,1.84,,
October,6.11,1.87,2.35,9.42,0.46,3.07,5.26,5.43,1.64,2.51,,
November,3.47,4.26,1.11,2.52,3.91,5.08,2.57,1.75,1.65,1.08,,
December,1.95,3.20,3.74,2.35,2.27,0.44,2.78,3.21,2.15,3.61,,
Total,36.83,27.01,21.89,34.44,24.06,21.85,29.02,26.68,22.96,30.27,,
Calc annual,36.83,27.01,21.89,34.44,24.06,21.85,29.02,26.68,22.96,30.27,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
