HARTFIELD-BOLEBROKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ475377,Long,0.10613287,Lat,51.119607,Elevation,275,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,4.86,1.27,4.12,2.21,,2.22,3.54,1,6.18,8.06,4.2,6.27,2.07,2.7,,,,,,,,,
February,,,,,,,,,1.87,0.57,1.01,2.56,,3.07,0.14,5.76,2.7,5.98,1.17,1.59,2.75,3.93,,,,,,,,,
March,,,,,,,,,2.11,0.01,1.17,0.35,,3.65,3.38,0.44,1.57,4.29,0.61,1.5,3.69,,,,,,,,,,
April,,,,,,,,,2.12,1.09,1.62,4.06,,0.76,2.92,3.53,2.44,3.01,0.43,1.96,1.64,,,,,,,,,,
May,,,,,,,,,1.42,2.43,2.55,3.13,,1.53,0.83,1.57,1.07,2.63,3.14,1.68,2.29,,,,,,,,,,
June,,,,,,,,,2.43,1.47,0.97,1.49,,1.45,1.76,2.81,3.68,2.17,0.89,1.49,0.18,,,,,,,,,,
July,,,,,,,,,1.7,1.15,2.71,2.62,,2,1.24,1.42,4.84,0.87,2.41,2.81,3.44,,,,,,,,,,
August,,,,,,,,,4.94,3.66,3.56,4.39,,1.15,2.03,4.39,0.8,2.25,3.61,2.03,0.14,,,,,,,,,,
September,,,,,,,,,0.75,0.44,3.78,2.15,,3.33,1.78,5.21,2.78,2.41,2.63,0.63,1.35,,,,,,,,,,
October,,,,,,,,,6.86,4.44,1.28,0.42,,2.04,2.03,4.15,2.71,2.85,3.88,7.1,4.44,,,,,,,,,,
November,,,,,,,,,4.01,8.96,6.13,5.03,,0.89,4.11,7.46,6.37,1.85,4.88,6.21,8.34,,,,,,,,,,
December,,,,,,,,,3.37,8.23,3.54,0.78,,0.63,7.93,4.76,3.84,4.31,4.17,1.95,1.88,,,,,,,,,,
Total,,,,,,,,,36.44,33.72,32.44,29.19,,22.72,31.69,42.5,38.98,40.68,32.02,35.22,32.21,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 Gauge moved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
