GUNNISLAKE (DELAWARE SCHOOL),,,,,,,,,,,,
Grid ref,SX422707,Long,-4.227102,Lat,50.514764,,,,,,,
Station no,1944/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.76,5.45,1.15,2.50,6.90,5.57,5.55,6.27,7.99,6.05,,
February,5.32,0.81,2.19,5.77,4.32,0.32,8.04,5.55,0.37,5.55,,
March,6.22,4.84,1.31,4.35,1.86,2.04,6.68,2.00,6.57,2.84,,
April,2.74,4.75,2.77,0.60,1.92,1.42,0.28,1.42,5.51,3.71,,
May,3.66,3.39,5.30,4.00,4.67,1.33,3.45,5.11,1.19,2.46,,
June,1.67,1.42,4.88,4.88,3.10,3.02,2.91,4.69,2.15,2.10,,
July,2.40,1.87,4.21,3.93,1.94,5.74,4.79,5.14,2.05,6.10,,
August,7.69,6.43,2.86,5.27,0.42,7.00,4.16,7.62,2.73,4.82,,
September,5.29,3.59,5.08,5.84,2.31,7.61,5.14,7.02,0.13,7.30,,
October,1.94,6.16,4.86,5.23,2.90,2.70,4.40,5.40,5.76,9.68,,
November,8.41,3.84,3.90,10.30,5.85,2.38,2.76,3.33,11.50,9.31,,
December,4.88,3.80,1.25,4.77,7.65,7.57,4.15,7.59,11.59,6.66,,
Total,55.98,46.35,39.76,57.44,43.84,46.70,52.31,-999.00,57.54,66.58,,
Calc annual,55.98,46.35,39.76,57.44,43.84,46.70,52.31,61.14,57.54,66.58,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-1060.14,0.00,0.00,,
