GUNNISLAKE-DELAWARE-SCHOOL-(SOUTH-VIEW),,,,,,,,
Grid ref,SX423706,Long,-4.22517,Lat,50.51401,Elevation,574,ft
Station no,1944/8,,,,,,,
,,,,,,,,
,1938,1939,1940,,,,,
January,,8.73,3.66,,,,,
February,,2.83,6.14,,,,,
March,,2.07,3.6,,,,,
April,,3.49,2.68,,,,,
May,,1.22,1.62,,,,,
June,,3.68,0.71,,,,,
July,,9.27,2.81,,,,,
August,,3.84,0.27,,,,,
September,2.25,0.67,1.52,,,,,
October,6.52,4.79,3.61,,,,,
November,9.1,10.31,8.88,,,,,
December,5.72,3.9,5.14,,,,,
Total,,54.8,40.64,,,,,
,,,,,,,,
South View Albaston,,,,,,,,
1938 Aug 16 Gauge moved 300 yds SW from Drakewall House,,,,,,,,
