HARROGATE (HARLOW HILL RES.) - new gauge,,,,,,,,,,
Grid ref,SE289542,Long,-1.560792,Lat,53.983052,Elevation,561,ft,,
Station no,3358/1,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,3.49,4.03,4.42,1.39
February,,,,,,,4.54,1.62,2.86,1.67
March,,,,,,,2.66,0.22,2.25,1.94
April,,,,,,,3.38,0.14,1.63,2.66
May,,,,,,,3.12,3.17,1.13,0.8
June,,,,,,,1.65,2.97,1.98,0.35
July,,,,,,,2.12,3.92,6.29,5.57
August,,,,,,,0.89,3.8,2.18,0.71
September,,,,,,,1.28,2.74,1.11,2.09
October,,,,,,,2.25,5.35,2.88,3.22
November,,,,,,,1.81,3.61,4.53,4.17
December,,,,,,,2.74,4.5,2.1,2.92
Total,,,,,,,29.93,36.07,33.36,27.49
