SKYE DUNVEGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NG247490,Long,-6.590633,Lat,57.447537,Elevation,47,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,
January,,,,,,,,,,,5.75,8.54,14.08,13.07,10.98,11.38,13.55,10.05,9.76,2.4,7.34,1.42,8.4,4.05,6.55,7.44,,,,,,,,,,,,,,,,,,,,,,,,,6.55,5.98,5.97,7.4,6.3,7.56,9.3,4.17,7.2,6.28,10.7,11.93,6.33,9.37,5.43,5.48,11.04,9.63,12.06,2.68,9.32,7.62,11.36,7.61,8.14,5.78,2.94,6.28,10.46,4.72,1.77,1.77,6.68,7.33,9.06,4.5,6.39,,,,,,,,,,
February,,,,,,,,,,,5.65,4.47,5.27,2.12,6.56,4.72,4.59,8.77,5.35,2.95,9.09,5.87,6,5.35,,8.32,,,,,,,,,,,,,,,,,,,,,,,,,9.13,8.73,7.01,4.41,10.53,6.36,7.75,1.79,11.26,2.02,11.06,3.46,7.82,3.6,2.76,5.15,5.11,4.52,5.59,2.04,1.01,8.38,0.63,4.08,2.25,5.43,2.53,4.35,6.26,9.03,4.71,3.04,4.79,8.24,5.95,4.56,5.7,,,,,,,,,,
March,,,,,,,,,,0.4,4.1,6.88,6.81,4.5,11.39,2.42,6.63,2.57,4.1,5.25,2.65,5.19,12,2.7,5.75,3.75,,,,,,,,,,,,,,,,,,,,,,,,,5.24,3.53,6.9,10.87,3.81,5.16,2.14,3.54,3.32,6.23,7.91,9.91,2.91,2.72,2.41,2.94,5.05,4.82,5.57,2.05,5.12,1.9,3.17,2.79,3.51,4.4,2.87,1.81,9.68,5.95,4.65,3.23,3.05,4.66,3.75,6.46,3.22,,,,,,,,,,
April,,,,,,,,,,,5.94,2.57,5.47,1.83,7.01,2.9,5.72,1.31,1.98,1.65,2.71,2.26,3.95,2.3,,2.12,,,,,,,,,,,,,,,,,,,,,,,,,6.24,6.91,6.05,5.83,6.86,5.77,5.33,2.36,2.69,6.41,2.85,3.32,4.24,2.91,2.89,4.9,3.18,6.11,3.21,1.36,3.1,3.68,5.9,4.84,7.48,3.14,1.73,2.74,1.27,3.43,2.64,2.26,1.72,6.03,3.53,2.7,3.75,,,,,,,,,,
May,,,,,,,,,,,3.83,1.88,5.31,4.48,3.46,5.65,0.87,4.61,4.43,3.79,2.35,3.15,2.95,6.25,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,5.29,4.46,4.36,5.14,3.41,0.98,5.02,3.97,3.21,2.68,7.49,4.76,7.32,3.6,4.03,6.55,3.56,2.97,1.85,4.03,2.67,4.31,2.49,1.16,3.81,1.84,2.32,2.69,5.19,2.23,2.17,0.58,2.05,3.47,2.91,3.55,1.37,,,,,,,,,,
June,,,,,,,,,,,3.97,1.07,6.44,5.36,4.54,5.26,8.97,6.78,5.1,2.81,2.2,5.9,3.1,2.55,,7.97,,,,,,,,,,,,,,,,,,,,,,,,,1.73,3.02,7.9,5.06,3.41,0.74,2.81,3.95,4.16,8.65,4.41,2.29,4.04,2.64,3.93,1.6,1.91,3.76,4.98,3.7,5.36,5.21,2.96,3.84,3.12,4.67,1.92,3.79,7.04,2.19,3.39,2.03,3.75,4.38,5.33,4.9,4.06,,,,,,,,,,
July,,,,,,,,,,,3.74,7.94,6.01,7.67,6.17,3.38,5.25,5.55,2.75,6.4,-999,7,6.3,3.95,,5.16,,,,,,,,,,,,,,,,,,,,,,,,,4.01,6.71,4.27,1.14,3.18,4.26,2.8,1.88,5.84,2.93,6.24,3.39,4.06,4.27,4.79,4.19,3.07,4.77,4.97,5.03,1.33,4.51,4.45,2.46,5.47,4.04,3.15,4.61,4.83,7.86,4.87,5.88,5.51,5.5,1.11,5.84,6.76,,,,,,,,,,
August,,,,,,,,,,,1.69,5.23,4.7,8.2,9.1,8.12,5.13,3.89,2.67,5.99,-999,6.75,4.2,9.65,,3.88,,,,,,,,,,,,,,,,,,,,,,,,,7.53,7.63,4.4,3.51,5.62,2.37,2.39,5.54,11.39,6.62,3.58,5.21,5.4,5.45,6.04,3.71,5.81,4.01,4.31,8.83,7.32,1.31,4.71,7.55,6.44,4.9,4.64,6.84,4.77,3.93,4.93,5.56,8.22,5.95,5.91,3.7,5.46,,,,,,,,,,
September,,,,,,,,,,,7.15,3.31,10.3,5.42,12.76,5.83,3.51,3.89,11.31,13.03,-999,4,8.5,4.15,,11.65,,,,,,,,,,,,,,,,,,,,,,,,,2.53,5.74,2.72,4.17,8.06,3.22,3.59,9.31,9.03,8.59,6.96,3.58,3.34,7.72,6.6,4.95,7.81,5.25,4.99,7.66,3.98,1.8,6.6,1.12,9.79,7.89,2.98,7.13,6.71,3.24,6.3,2.77,7.01,6.21,5.39,5.88,8.04,,,,,,,,,,
October,,,,,,,,,,,6.07,8.56,9.54,12.66,19.26,7.04,9.29,13.96,9.36,4.94,4.1,4.95,3.35,4.8,,7.04,,,,,,,,,,,,,,,,,,,,,,,,,5.91,4.34,10.26,9.1,4.86,3.52,8.15,15.72,10.54,4.29,5.29,6.52,3.74,10.66,6.56,6.25,6.52,7.54,9.68,9.8,10.89,5.67,8.66,5.17,8.88,9.8,6.62,2.79,14.98,1.71,7.3,6.29,10.5,15.1,8.94,2.63,0.93,,,,,,,,,,
