NEWPORT-GOLD-TOPS,,,,,,,,,,,,,,,,,,,,
Grid ref,ST306883,Long,-3.0031521,Lat,51.58926,Elevation,90,ft.,,,,,,,,,,,,
Station no,RR6173,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,2.22,4.46,0.68,1.75,3.41,5.95,6.36,3.61,5.89,2.96,1.87,
February,,,,,,,,,2.83,6.81,3.87,6.15,3.13,4.81,4.33,4.49,1.54,1.19,1.18,
March,,,,,,,,,2.98,1.19,2.51,4.4,2.81,0.91,3.55,1.66,4.5,2.42,,
April,,,,,,,,,3.79,3.03,1.92,0.88,5.92,0.44,1.32,2.59,2.8,2.18,,
May,,,,,,,,,6.12,3.05,1.55,3.2,2.91,1.89,2.04,3.94,7.09,2.46,,
June,,,,,,,,,3.06,5.58,2.82,3.67,5.03,3.1,2.33,2.69,0.75,0.81,,
July,,,,,,,,,4.41,4.11,6.83,2.97,5.97,4.11,4.62,0.9,4.42,1.56,,
August,,,,,,,,,8.84,8.82,0.52,6.55,5,2.23,2.65,2.69,1.89,2.34,,
September,,,,,,,,,3.87,5.22,4.27,2.16,5.11,6.52,3.32,6.6,3.11,4.09,,
October,,,,,,,,,3.8,1.17,5.3,3.04,6.77,3.54,1.32,5.9,6.28,1.88,,
November,,,,,,,,,3.73,0.64,5.22,5.87,5.9,6.04,2.31,5.93,5.39,3.7,,
December,,,,,,,,,2.52,2.18,5.41,3.67,5.02,1.38,6.33,1.93,5.69,3.18,,
Total,,,,,,,,,48.17,46.26,40.9,44.31,56.98,40.92,40.48,42.93,49.35,28.77,,
,,,,,,,,,,,,,,,,,,,,
"NGR is mid point of Gold Tops, a road, which is 300m long. Altitudes match. ",,,,,,,,,,,,,,,,,,,,
Gauge moved to Crindau House in March 1888,,,,,,,,,,,,,,,,,,,,
