NEWPORT-CRINDAU-HOUSE,,,,,,,,,,
Grid ref,ST308894,Long,-3.000483,Lat,51.599173,Elevation,60,ft.,,
Station no,RR6173,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,
April,,,,,,,,,1.56,
May,,,,,,,,,2.02,
June,,,,,,,,,4.07,
July,,,,,,,,,6.98,
August,,,,,,,,,3.07,
September,,,,,,,,,1.22,
October,,,,,,,,,1.47,
November,,,,,,,,,7.65,
December,,,,,,,,,4.8,
Total,,,,,,,,,,
,,,,,,,,,,
NGR is Crindau House. Altitude from OS map,,,,,,,,,,
