MINEHEAD-CLANVILLE,,,,,,,,,,,,,,,,,,,,
Grid ref,SS968464,Long,-3.47867,Lat,51.20746,Elevation,105,ft,,,,,,,,,,,,
Station no,RR8526,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,,4.65,0.97,3.9,5.85,1.37,3.36,1.17,0.95,5,
February,,,,,,,,,,,4.51,1.79,2.51,1.52,3.38,5.68,6.4,0.95,-999,
March,,,,,,,,,,,0.61,2.05,5.8,4.42,5.88,0.44,2.87,2.13,-999,
April,,,,,,,,,,,2.75,1.67,0.17,3.6,1.9,0.69,1.03,1.81,2.8,
May,,,,,,,,,,1.56,2.6,1.55,1.73,2.34,1.09,1.86,2.11,2.44,1.1,
June,,,,,,,,,,2.5,2.4,2.53,4.76,1.16,2.46,0.82,1.25,2.64,1.53,
July,,,,,,,,,,1.1,2.26,0.17,2.02,0.7,5.48,2.93,0.8,2.13,4.25,
August,,,,,,,,,,1.72,3.13,1.58,7.2,1.38,2.29,1.3,4.51,5.7,2.28,
September,,,,,,,,,,3.22,0.38,2.55,0.65,2.27,1.7,1.36,2.21,1.85,7.79,
October,,,,,,,,,,4.21,5.69,3.81,4.57,4.36,3.2,3.59,5.85,6.65,2.13,
November,,,,,,,,,,1.58,5.02,4.03,2.92,3.82,4.33,2.62,3.89,1.76,,
December,,,,,,,,,,4.59,5.08,8.92,4.71,3.43,7.71,6.83,2.73,0.83,,
Total,,,,,,,,,,,39.08,31.62,40.94,34.85,40.79,31.48,34.82,29.84,,
,,,,,,,,,,,,,,,,,,,,
1910 Sept 1 Gauge moved 200yds SSE,,,,,,,,,,,,,,,,,,,,
1914 Aug 12 Inspection Accurate Snowdon On the whole rather sheltered but fairly good exposure,,,,,,,,,,,,,,,,,,,,
1918 Feb Mar No value for Feb but note says probably Feb and Mar combined Value 2.84,,,,,,,,,,,,,,,,,,,,
