"SOUTHAMPTON PURLIEU, HEATHFIELD DIBDEN",,,,,,,,,,,,
Grid ref,SU416076,Long,-1.410231,Lat,50.866415,,,,,,,
Station no,RR4774,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.14,1.63,1.23,,
February,,,,,,,,1.30,1.24,0.29,,
March,,,,,,,,0.87,2.66,3.86,,
April,,,,,,,,4.60,3.55,1.60,,
May,,,,,,,,2.16,1.74,1.68,,
June,,,,,,,,2.22,0.41,4.30,,
July,,,,,,,,1.34,2.30,2.63,,
August,,,,,,,,1.85,4.77,2.28,,
September,,,,,,,,0.50,1.85,4.31,,
October,,,,,,,6.35,7.30,1.98,10.41,,
November,,,,,,,4.66,2.95,1.26,0.71,,
December,,,,,,,2.36,4.73,4.50,4.35,,
Total,,,,,,,,30.96,27.89,37.65,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,13.37,30.96,27.89,37.65,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,-0.00,,
